municipality_id;analysis_year;municipality_name;total_centers;total_population_0_19;population_0_4;population_5_9;population_10_14;population_15_19;total_estimated_need;total_capacity;overall_coverage_ratio;cycles_with_need;cycles_covered;coverage_percentage;is_fully_covered;total_deficit;cycles_with_access;access_percentage;access_classification;has_basic_education;has_mandatory_education;missing_cycles
28083;2022-2023;Meco;4;3725;691;887;1025;1122;2827.4;1619;0.572610879253024;4;0;0.0;False;1208.4;4;100.0;Acceso Completo;True;True;[]
28181;2022-2023;Villaviciosa de Odón;7;5887;872;1206;1578;2231;4102.2;1956;0.4768173175369314;4;0;0.0;False;2146.2;4;100.0;Acceso Completo;True;True;[]
28182;2022-2023;Villavieja del Lozoya;2;55;17;15;9;14;43.8;415;9.47488584474886;4;4;100.0;True;0.0;4;100.0;Acceso Completo;True;True;[]
28062;2022-2023;Garganta de los Montes;5;42;8;12;11;11;33.2;1277;38.463855421686745;4;4;100.0;True;0.0;4;100.0;Acceso Completo;True;True;[]
28091;2022-2023;Morata de Tajuña;2;1653;318;408;465;462;1283.4;1134;0.8835904628330995;4;2;50.0;False;149.4000000000001;3;75.0;Acceso Bueno;True;True;['infantil_i_ciclo']
28157;2022-2023;Valdelaguna;6;211;47;45;56;63;160.60000000000002;1927;11.998754669987544;4;3;75.0;False;0.0;4;100.0;Acceso Completo;True;True;[]
28164;2022-2023;Valdetorres de Jarama;1;1016;178;245;276;317;762.4;483;0.6335257082896117;4;0;0.0;False;279.4;3;75.0;Acceso Bueno;True;True;['infantil_i_ciclo']
28055;2022-2023;Estremera;3;246;52;55;70;69;190.8;772;4.046121593291405;4;3;75.0;False;0.0;4;100.0;Acceso Completo;True;True;[]
28171;2022-2023;Villa del Prado;3;1559;332;379;422;426;1218.1999999999998;1113;0.9136430799540307;4;1;25.0;False;105.19999999999982;4;100.0;Acceso Completo;True;True;[]
28178;2022-2023;Villanueva de Perales;2;369;64;94;103;108;282.6;407;1.4401981599433828;4;3;75.0;False;0.0;3;75.0;Acceso Bueno;True;True;['infantil_i_ciclo']
28166;2022-2023;Valverde de Alcalá;4;99;27;22;21;29;75.8;1651;21.781002638522427;4;3;75.0;False;0.0;4;100.0;Acceso Completo;True;True;[]
28165;2022-2023;Valdilecha;1;704;149;177;194;184;556.8;549;0.9859913793103449;4;3;75.0;False;7.7999999999999545;3;75.0;Acceso Bueno;True;True;['infantil_i_ciclo']
28159;2022-2023;Valdemaqueda;3;148;24;36;39;49;108.8;495;4.549632352941177;4;3;75.0;False;0.0;4;100.0;Acceso Completo;True;True;[]
28016;2022-2023;El Atazar;5;16;1;5;3;7;10.4;1638;157.5;4;4;100.0;True;0.0;4;100.0;Acceso Completo;True;True;[]
