education_center_id;analysis_year;center_name;center_type;cycles_active;total_estimated_places;total_enrolled;total_max_enrolled;total_applications_submitted;total_applications_admitted;total_applications_admitted_real;center_occupancy_rate;center_demand_ratio;center_admission_capacity_ratio;center_admission_efficiency
28074918;2022-2023;Francisco de Ayala;IES;1;229.0;912;916;257;204.0;204;0.9956331877729258;1.1222707423580787;0.8908296943231441;0.7937743190661478
28074581;2022-2023;Alicia de Larrocha;CP INF-PRI;3;65.33333333333333;270;294;57;61.33333333333333;43;0.9183673469387755;0.8724489795918368;0.9387755102040817;0.7543859649122807
28066107;2022-2023;Mozart;CP INF-PRI;2;152.16666666666669;679;683;92;157.66666666666669;81;0.9941434846266471;0.6046002190580503;1.036144578313253;0.8804347826086957
28070111;2022-2023;El Columpio;EEI;1;34.333333333333336;89;103;106;95.0;95;0.8640776699029126;3.087378640776699;2.7669902912621356;0.8962264150943396
28023297;2022-2023;Carlos Ruiz;CP INF-PRI;2;96.66666666666666;442;442;59;90.0;44;1.0;0.610344827586207;0.9310344827586208;0.7457627118644068
28025130;2022-2023;Cardenal Cisneros;CP INF-PRI;2;94.33333333333334;411;436;54;86.0;51;0.9426605504587156;0.5724381625441696;0.9116607773851589;0.9444444444444444
28042826;2022-2023;Ciudad de Columbia;CP INF-PRI;2;101.0;441;455;66;88.0;41;0.9692307692307692;0.6534653465346535;0.8712871287128713;0.6212121212121212
28042191;2022-2023;Velázquez;CP INF-PRI-SEC;3;132.5;503;574;54;66.66666666666667;39;0.8763066202090593;0.4075471698113208;0.5031446540880503;0.7222222222222222
28010916;2022-2023;Palacio Valdés;CP INF-PRI;2;46.5;201;210;18;37.66666666666667;17;0.9571428571428572;0.3870967741935484;0.8100358422939069;0.9444444444444444
28028519;2022-2023;Ciudad de Parla;CP INF-PRI;2;132.83333333333331;534;611;40;85.33333333333334;38;0.8739770867430442;0.301129234629862;0.6424090338770391;0.95
28060816;2022-2023;Padre Antonio Soler;CIMELPR PRSEC;2;60.0;267;288;0;0.0;0;0.9270833333333334;0.0;0.0;0.0
28049146;2022-2023;Piruetas;EEI;1;38.666666666666664;113;116;233;116.0;116;0.9741379310344828;6.025862068965518;3.0;0.4978540772532189
28047411;2022-2023;Príncipe Felipe;IES;1;184.25;737;737;242;159.0;159;1.0;1.3134328358208955;0.8629579375848032;0.6570247933884298
28024794;2022-2023;Duque de Rivas;CP INF-PRI;2;93.83333333333333;415;432;34;67.0;29;0.9606481481481481;0.3623445825932505;0.7140319715808171;0.8529411764705882
28025403;2022-2023;Jesús Aramburu;CP INF-PRI-SEC;3;112.25;413;483;25;52.0;23;0.855072463768116;0.22271714922049;0.46325167037861914;0.92
28005741;2022-2023;Luis de Góngora;CP INF-PRI;2;41.0;190;193;28;40.33333333333333;23;0.9844559585492227;0.6829268292682927;0.9837398373983739;0.8214285714285714
