hospital_name;municipality_name
hospital_universitario_infanta_sofia;Valdetorres de Jarama
hospital_universitario_infanta_sofia;El Vellón
hospital_universitario_infanta_sofia;Venturada
hospital_universitario_infanta_sofia;Villavieja del Lozoya
hospital_universitario_principe_de_asturias;Alcalá de Henares
hospital_universitario_principe_de_asturias;Anchuelo
hospital_universitario_principe_de_asturias;Camarma de Esteruelas
hospital_universitario_principe_de_asturias;Corpa
hospital_universitario_principe_de_asturias;Meco
hospital_universitario_principe_de_asturias;Pezuela de las Torres
hospital_universitario_principe_de_asturias;Santorcaz
hospital_universitario_principe_de_asturias;Los Santos de la Humosa
hospital_universitario_principe_de_asturias;Torres de la Alameda
hospital_universitario_principe_de_asturias;Valdeavero
hospital_universitario_principe_de_asturias;Valverde de Alcalá
hospital_universitario_principe_de_asturias;Villalbilla
hospital_universitario_puerta_de_hierro_majadahonda;n/a
hospital_universitario_la_paz;n/a
hospital_universitario_ramon_y_cajal;n/a
hospital_universitario_rey_juan_carlos;Móstoles
hospital_universitario_rey_juan_carlos;Navalcarnero
hospital_universitario_rey_juan_carlos;El Álamo
hospital_universitario_rey_juan_carlos;Villanueva de Perales
hospital_universitario_rey_juan_carlos;Villa del Prado
hospital_universitario_rey_juan_carlos;Navas del Rey
hospital_universitario_rey_juan_carlos;Colmenar del Arroyo
hospital_universitario_rey_juan_carlos;Pelayos de la Presa
hospital_universitario_rey_juan_carlos;Cenicientos
hospital_universitario_rey_juan_carlos;Villaviciosa de Odón
hospital_universitario_rey_juan_carlos;Sevilla la Nueva
hospital_universitario_rey_juan_carlos;Villamanta
hospital_universitario_rey_juan_carlos;Villamantilla
hospital_universitario_rey_juan_carlos;Aldea del Fresno
hospital_universitario_rey_juan_carlos;Chapinería
hospital_universitario_rey_juan_carlos;San Martín de Valdeiglesias
hospital_universitario_rey_juan_carlos;Cadalso de los Vidrios
hospital_universitario_rey_juan_carlos;Rozas de Puerto Real
hospital_universitario_severo_ochoa;Leganés
hospital_universitario_severo_ochoa;Fuenlabrada
hospital_universitario_severo_ochoa;Humanes
hospital_universitario_severo_ochoa;Moraleja de Enmedio
