Población.Censos.Censo anual.Población censada.Total. Población censada de 0 a 4 años. Unidad: Número. Fuente: Censo de Población Anual. INE.;
Serie;;;2021;2022;2023;2024
Comunidad de Madrid;;Comunidad de Madrid;290.717,00;276.482,00;269.120,00;263.689,00;
Zonas Estadísticas;01;Municipio de Madrid ;133.263,00;126.754,00;124.448,00;123.981,00;
Zonas Estadísticas;02;Norte Metropolitano ;16.599,00;15.904,00;15.539,00;15.255,00;
Zonas Estadísticas;03;Este Metropolitano  ;30.868,00;29.600,00;28.669,00;27.553,00;
Zonas Estadísticas;04;Sur Metropolitano   ;60.390,00;56.035,00;53.278,00;51.011,00;
Zonas Estadísticas;05;Oeste Metropolitano ;22.013,00;21.691,00;21.287,00;20.720,00;
Zonas Estadísticas;06;Sierra Norte        ;1.869,00;1.786,00;1.793,00;1.706,00;
Zonas Estadísticas;07;Nordeste Comunidad  ;3.189,00;3.054,00;3.007,00;2.933,00;
Zonas Estadísticas;08;Sudeste Comunidad   ;5.269,00;5.225,00;5.068,00;5.032,00;
Zonas Estadísticas;09;Sudoeste Comunidad  ;8.459,00;8.059,00;7.792,00;7.448,00;
Zonas Estadísticas;10;Sierra Sur          ;1.609,00;1.552,00;1.581,00;1.531,00;
Zonas Estadísticas;11;Sierra Central      ;7.189,00;6.822,00;6.658,00;6.519,00;
Municipios;0014;Acebeda (La);0,00;0,00;0,00;1,00;
Municipios;0029;Ajalvir;198,00;194,00;193,00;168,00;
Municipios;0035;Alameda del Valle;10,00;6,00;7,00;11,00;
Municipios;0040;Álamo (El);477,00;439,00;447,00;470,00;
Municipios;0053;Alcalá de Henares;7.791,00;7.556,00;7.462,00;7.355,00;
Municipios;0066;Alcobendas;5.128,00;4.826,00;4.764,00;4.649,00;
Municipios;0072;Alcorcón;6.904,00;6.328,00;5.956,00;5.726,00;
Municipios;0088;Aldea del Fresno;165,00;170,00;178,00;162,00;
Municipios;0091;Algete;843,00;878,00;866,00;854,00;
Municipios;0105;Alpedrete;527,00;506,00;500,00;488,00;
Municipios;0112;Ambite;28,00;30,00;30,00;25,00;
Municipios;0127;Anchuelo;79,00;87,00;68,00;65,00;
Municipios;0133;Aranjuez;2.788,00;2.587,00;2.435,00;2.419,00;
Municipios;0148;Arganda del Rey;2.851,00;2.758,00;2.685,00;2.542,00;
Municipios;0151;Arroyomolinos;2.464,00;2.348,00;2.253,00;2.126,00;
Municipios;0164;Atazar (El);2,00;1,00;0,00;1,00;
Municipios;0170;Batres;67,00;70,00;59,00;64,00;
Municipios;0186;Becerril de la Sierra;268,00;249,00;237,00;249,00;
Municipios;0199;Belmonte de Tajo;76,00;79,00;77,00;83,00;
Municipios;0210;Berrueco (El);41,00;35,00;32,00;24,00;
Municipios;0203;Berzosa del Lozoya;2,00;2,00;2,00;3,00;
Municipios;0225;Boadilla del Monte;2.948,00;3.188,00;3.106,00;2.895,00;
Municipios;0231;Boalo (El);375,00;320,00;319,00;302,00;
Municipios;0246;Braojos;8,00;8,00;7,00;7,00;
Municipios;0259;Brea de Tajo;11,00;16,00;14,00;13,00;
Municipios;0262;Brunete;438,00;428,00;410,00;405,00;
Municipios;0278;Buitrago del Lozoya;72,00;83,00;74,00;65,00;
Municipios;0284;Bustarviejo;93,00;94,00;90,00;87,00;
Municipios;0297;Cabanillas de la Sierra;41,00;38,00;45,00;39,00;
Municipios;0301;Cabrera (La);83,00;97,00;100,00;106,00;
Municipios;0318;Cadalso de los Vidrios;142,00;136,00;123,00;111,00;
Municipios;0323;Camarma de Esteruelas;317,00;308,00;302,00;307,00;
Municipios;0339;Campo Real;371,00;358,00;325,00;309,00;
Municipios;0344;Canencia;11,00;9,00;11,00;13,00;
Municipios;0357;Carabaña;82,00;89,00;93,00;108,00;
Municipios;0360;Casarrubuelos;210,00;192,00;202,00;179,00;
Municipios;0376;Cenicientos;80,00;72,00;66,00;75,00;
Municipios;0382;Cercedilla;286,00;282,00;267,00;266,00;
Municipios;0395;Cervera de Buitrago;1,00;3,00;3,00;6,00;
Municipios;0513;Chapinería;119,00;109,00;130,00;113,00;
Municipios;0528;Chinchón;216,00;217,00;201,00;214,00;
Municipios;0409;Ciempozuelos;1.189,00;1.116,00;1.025,00;1.014,00;
Municipios;0416;Cobeña;392,00;366,00;335,00;319,00;
Municipios;0468;Collado Mediano;292,00;287,00;293,00;285,00;
Municipios;0474;Collado Villalba;2.734,00;2.592,00;2.501,00;2.428,00;
Municipios;0455;Colmenar Viejo;2.746,00;2.675,00;2.706,00;2.714,00;
Municipios;0437;Colmenar de Oreja;298,00;285,00;290,00;300,00;
Municipios;0421;Colmenar del Arroyo;76,00;73,00;87,00;79,00;
Municipios;0442;Colmenarejo;330,00;302,00;302,00;309,00;
Municipios;0480;Corpa;42,00;39,00;35,00;31,00;
Municipios;0493;Coslada;2.986,00;2.785,00;2.689,00;2.626,00;
Municipios;0506;Cubas de la Sagra;355,00;345,00;323,00;294,00;
Municipios;0534;Daganzo de Arriba;450,00;433,00;423,00;416,00;
Municipios;0549;Escorial (El);637,00;616,00;603,00;590,00;
Municipios;0552;Estremera;51,00;53,00;55,00;52,00;
Municipios;0565;Fresnedillas de la Oliva;95,00;86,00;90,00;92,00;
Municipios;0571;Fresno de Torote;117,00;104,00;104,00;113,00;
Municipios;0587;Fuenlabrada;8.081,00;7.338,00;6.885,00;6.581,00;
Municipios;0590;Fuente el Saz de Jarama;288,00;282,00;288,00;284,00;
Municipios;0604;Fuentidueña de Tajo;85,00;85,00;94,00;92,00;
Municipios;0611;Galapagar;1.444,00;1.446,00;1.360,00;1.283,00;
Municipios;0626;Garganta de los Montes;15,00;12,00;13,00;8,00;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;6,00;12,00;15,00;16,00;
Municipios;0647;Gascones;4,00;7,00;8,00;13,00;
Municipios;0650;Getafe;9.142,00;8.739,00;8.378,00;7.984,00;
Municipios;0663;Griñón;451,00;405,00;368,00;356,00;
Municipios;0679;Guadalix de la Sierra;299,00;296,00;306,00;297,00;
Municipios;0685;Guadarrama;683,00;635,00;625,00;556,00;
Municipios;0698;Hiruela (La);4,00;5,00;3,00;5,00;
Municipios;0702;Horcajo de la Sierra-Aoslos;3,00;4,00;9,00;7,00;
Municipios;0719;Horcajuelo de la Sierra;4,00;6,00;5,00;4,00;
Municipios;0724;Hoyo de Manzanares;313,00;291,00;302,00;299,00;
Municipios;0730;Humanes de Madrid;1.071,00;970,00;903,00;839,00;
Municipios;0745;Leganés;7.465,00;6.862,00;6.671,00;6.385,00;
Municipios;0758;Loeches;460,00;446,00;409,00;376,00;
Municipios;0761;Lozoya;17,00;13,00;16,00;13,00;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;42,00;45,00;49,00;49,00;
Municipios;0783;Madarcos;1,00;1,00;2,00;2,00;
Municipios;0796;Madrid;133.263,00;126.754,00;124.448,00;123.981,00;
Municipios;0800;Majadahonda;3.229,00;3.083,00;2.940,00;2.877,00;
Municipios;0822;Manzanares el Real;437,00;404,00;366,00;338,00;
Municipios;0838;Meco;720,00;693,00;684,00;691,00;
Municipios;0843;Mejorada del Campo;1.049,00;983,00;935,00;910,00;
Municipios;0856;Miraflores de la Sierra;258,00;249,00;247,00;247,00;
Municipios;0869;Molar (El);493,00;475,00;445,00;434,00;
Municipios;0875;Molinos (Los);142,00;165,00;153,00;171,00;
Municipios;0881;Montejo de la Sierra;5,00;4,00;2,00;3,00;
Municipios;0894;Moraleja de Enmedio;225,00;232,00;222,00;238,00;
Municipios;0908;Moralzarzal;503,00;465,00;468,00;497,00;
Municipios;0915;Morata de Tajuña;351,00;341,00;334,00;318,00;
Municipios;0920;Móstoles;9.117,00;8.576,00;8.177,00;7.840,00;
Municipios;0936;Navacerrada;114,00;103,00;122,00;115,00;
Municipios;0941;Navalafuente;88,00;95,00;91,00;75,00;
Municipios;0954;Navalagamella;146,00;139,00;139,00;123,00;
Municipios;0967;Navalcarnero;1.924,00;1.811,00;1.706,00;1.603,00;
Municipios;0973;Navarredonda y San Mamés;1,00;5,00;5,00;5,00;
Municipios;0992;Navas del Rey;137,00;146,00;153,00;149,00;
Municipios;1006;Nuevo Baztán;257,00;263,00;261,00;265,00;
Municipios;1013;Olmeda de las Fuentes;14,00;14,00;13,00;13,00;
Municipios;1028;Orusco de Tajuña;43,00;45,00;43,00;55,00;
Municipios;1049;Paracuellos de Jarama;1.654,00;1.484,00;1.320,00;1.151,00;
Municipios;1065;Parla;7.263,00;6.640,00;6.196,00;5.838,00;
Municipios;1071;Patones;26,00;22,00;23,00;22,00;
Municipios;1087;Pedrezuela;355,00;312,00;310,00;304,00;
Municipios;1090;Pelayos de la Presa;99,00;117,00;117,00;136,00;
Municipios;1104;Perales de Tajuña;156,00;150,00;149,00;130,00;
Municipios;1111;Pezuela de las Torres;48,00;49,00;48,00;42,00;
Municipios;1126;Pinilla del Valle;4,00;4,00;6,00;4,00;
Municipios;1132;Pinto;2.806,00;2.559,00;2.421,00;2.292,00;
Municipios;1147;Piñuécar-Gandullas;3,00;3,00;5,00;7,00;
Municipios;1150;Pozuelo de Alarcón;3.567,00;3.478,00;3.449,00;3.405,00;
Municipios;1163;Pozuelo del Rey;71,00;69,00;65,00;65,00;
Municipios;1179;Prádena del Rincón;3,00;3,00;2,00;2,00;
Municipios;1185;Puebla de la Sierra;2,00;1,00;1,00;0,00;
Municipios;9020;Puentes Viejas;19,00;17,00;22,00;23,00;
Municipios;1198;Quijorna;169,00;160,00;164,00;157,00;
