Población.Censos.Censo anual.Población censada.Total. Población censada de 95 a 99 años. Unidad: Número. Fuente: Censo de Población Anual. INE.;
Serie;;;2021;2022;2023;2024
Comunidad de Madrid;;Comunidad de Madrid;15.196,00;16.353,00;17.054,00;18.533,00;
Zonas Estadísticas;01;Municipio de Madrid ;10.017,00;10.691,00;11.079,00;11.997,00;
Zonas Estadísticas;02;Norte Metropolitano ;542,00;594,00;612,00;647,00;
Zonas Estadísticas;03;Este Metropolitano  ;798,00;905,00;974,00;1.061,00;
Zonas Estadísticas;04;Sur Metropolitano   ;1.790,00;1.887,00;1.970,00;2.173,00;
Zonas Estadísticas;05;Oeste Metropolitano ;857,00;977,00;1.046,00;1.155,00;
Zonas Estadísticas;06;Sierra Norte        ;151,00;161,00;165,00;164,00;
Zonas Estadísticas;07;Nordeste Comunidad  ;75,00;79,00;87,00;107,00;
Zonas Estadísticas;08;Sudeste Comunidad   ;241,00;261,00;269,00;264,00;
Zonas Estadísticas;09;Sudoeste Comunidad  ;280,00;309,00;324,00;363,00;
Zonas Estadísticas;10;Sierra Sur          ;117,00;127,00;126,00;142,00;
Zonas Estadísticas;11;Sierra Central      ;328,00;362,00;402,00;460,00;
Municipios;0014;Acebeda (La);1,00;1,00;2,00;1,00;
Municipios;0029;Ajalvir;6,00;11,00;9,00;5,00;
Municipios;0035;Alameda del Valle;0,00;2,00;1,00;0,00;
Municipios;0040;Álamo (El);54,00;65,00;62,00;72,00;
Municipios;0053;Alcalá de Henares;328,00;370,00;399,00;411,00;
Municipios;0066;Alcobendas;177,00;189,00;188,00;215,00;
Municipios;0072;Alcorcón;318,00;339,00;357,00;397,00;
Municipios;0088;Aldea del Fresno;8,00;10,00;9,00;8,00;
Municipios;0091;Algete;28,00;33,00;36,00;33,00;
Municipios;0105;Alpedrete;29,00;24,00;21,00;38,00;
Municipios;0112;Ambite;1,00;1,00;1,00;2,00;
Municipios;0127;Anchuelo;5,00;3,00;2,00;2,00;
Municipios;0133;Aranjuez;117,00;113,00;110,00;145,00;
Municipios;0148;Arganda del Rey;69,00;76,00;77,00;75,00;
Municipios;0151;Arroyomolinos;13,00;16,00;14,00;15,00;
Municipios;0164;Atazar (El);0,00;0,00;0,00;0,00;
Municipios;0170;Batres;2,00;3,00;2,00;3,00;
Municipios;0186;Becerril de la Sierra;13,00;14,00;13,00;16,00;
Municipios;0199;Belmonte de Tajo;6,00;5,00;4,00;5,00;
Municipios;0210;Berrueco (El);4,00;1,00;2,00;4,00;
Municipios;0203;Berzosa del Lozoya;6,00;5,00;5,00;2,00;
Municipios;0225;Boadilla del Monte;63,00;84,00;87,00;100,00;
Municipios;0231;Boalo (El);10,00;10,00;8,00;14,00;
Municipios;0246;Braojos;0,00;0,00;0,00;0,00;
Municipios;0259;Brea de Tajo;1,00;2,00;2,00;3,00;
Municipios;0262;Brunete;15,00;22,00;19,00;18,00;
Municipios;0278;Buitrago del Lozoya;15,00;14,00;13,00;13,00;
Municipios;0284;Bustarviejo;7,00;9,00;10,00;11,00;
Municipios;0297;Cabanillas de la Sierra;0,00;0,00;1,00;3,00;
Municipios;0301;Cabrera (La);12,00;13,00;11,00;11,00;
Municipios;0318;Cadalso de los Vidrios;12,00;10,00;7,00;12,00;
Municipios;0323;Camarma de Esteruelas;5,00;2,00;5,00;6,00;
Municipios;0339;Campo Real;10,00;16,00;14,00;12,00;
Municipios;0344;Canencia;5,00;4,00;2,00;3,00;
Municipios;0357;Carabaña;18,00;16,00;15,00;14,00;
Municipios;0360;Casarrubuelos;2,00;1,00;4,00;6,00;
Municipios;0376;Cenicientos;6,00;12,00;15,00;13,00;
Municipios;0382;Cercedilla;28,00;27,00;28,00;27,00;
Municipios;0395;Cervera de Buitrago;0,00;1,00;1,00;1,00;
Municipios;0513;Chapinería;7,00;9,00;8,00;10,00;
Municipios;0528;Chinchón;17,00;18,00;19,00;19,00;
Municipios;0409;Ciempozuelos;48,00;63,00;71,00;80,00;
Municipios;0416;Cobeña;7,00;11,00;11,00;14,00;
Municipios;0468;Collado Mediano;7,00;8,00;7,00;11,00;
Municipios;0474;Collado Villalba;95,00;118,00;131,00;128,00;
Municipios;0455;Colmenar Viejo;126,00;138,00;132,00;136,00;
Municipios;0437;Colmenar de Oreja;21,00;23,00;19,00;19,00;
Municipios;0421;Colmenar del Arroyo;1,00;4,00;5,00;5,00;
Municipios;0442;Colmenarejo;17,00;14,00;14,00;15,00;
Municipios;0480;Corpa;2,00;2,00;1,00;3,00;
Municipios;0493;Coslada;93,00;100,00;112,00;132,00;
Municipios;0506;Cubas de la Sagra;20,00;16,00;17,00;26,00;
Municipios;0534;Daganzo de Arriba;4,00;8,00;5,00;6,00;
Municipios;0549;Escorial (El);30,00;39,00;46,00;47,00;
Municipios;0552;Estremera;9,00;8,00;11,00;8,00;
Municipios;0565;Fresnedillas de la Oliva;1,00;2,00;3,00;4,00;
Municipios;0571;Fresno de Torote;3,00;2,00;2,00;3,00;
Municipios;0587;Fuenlabrada;170,00;200,00;222,00;231,00;
Municipios;0590;Fuente el Saz de Jarama;21,00;15,00;18,00;23,00;
Municipios;0604;Fuentidueña de Tajo;5,00;4,00;7,00;8,00;
Municipios;0611;Galapagar;52,00;59,00;59,00;68,00;
Municipios;0626;Garganta de los Montes;1,00;0,00;1,00;1,00;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;1,00;0,00;0,00;1,00;
Municipios;0647;Gascones;0,00;0,00;0,00;0,00;
Municipios;0650;Getafe;282,00;267,00;274,00;297,00;
Municipios;0663;Griñón;21,00;32,00;34,00;34,00;
Municipios;0679;Guadalix de la Sierra;14,00;10,00;11,00;11,00;
Municipios;0685;Guadarrama;44,00;49,00;59,00;57,00;
Municipios;0698;Hiruela (La);0,00;0,00;0,00;0,00;
Municipios;0702;Horcajo de la Sierra-Aoslos;0,00;0,00;0,00;0,00;
Municipios;0719;Horcajuelo de la Sierra;0,00;0,00;0,00;0,00;
Municipios;0724;Hoyo de Manzanares;21,00;22,00;27,00;32,00;
Municipios;0730;Humanes de Madrid;10,00;15,00;15,00;18,00;
Municipios;0745;Leganés;289,00;292,00;297,00;332,00;
Municipios;0758;Loeches;6,00;6,00;6,00;8,00;
Municipios;0761;Lozoya;4,00;4,00;4,00;3,00;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;8,00;5,00;4,00;4,00;
Municipios;0783;Madarcos;0,00;0,00;0,00;0,00;
Municipios;0796;Madrid;10.017,00;10.691,00;11.079,00;11.997,00;
Municipios;0800;Majadahonda;132,00;134,00;128,00;149,00;
Municipios;0822;Manzanares el Real;14,00;17,00;17,00;21,00;
Municipios;0838;Meco;10,00;9,00;9,00;11,00;
Municipios;0843;Mejorada del Campo;20,00;27,00;26,00;34,00;
Municipios;0856;Miraflores de la Sierra;10,00;7,00;4,00;5,00;
Municipios;0869;Molar (El);6,00;9,00;13,00;23,00;
Municipios;0875;Molinos (Los);9,00;12,00;15,00;13,00;
Municipios;0881;Montejo de la Sierra;4,00;5,00;6,00;4,00;
Municipios;0894;Moraleja de Enmedio;11,00;8,00;5,00;5,00;
Municipios;0908;Moralzarzal;20,00;26,00;34,00;38,00;
Municipios;0915;Morata de Tajuña;24,00;27,00;33,00;35,00;
Municipios;0920;Móstoles;339,00;354,00;352,00;377,00;
Municipios;0936;Navacerrada;9,00;9,00;7,00;5,00;
Municipios;0941;Navalafuente;1,00;2,00;2,00;1,00;
Municipios;0954;Navalagamella;5,00;6,00;6,00;4,00;
Municipios;0967;Navalcarnero;62,00;66,00;66,00;79,00;
Municipios;0973;Navarredonda y San Mamés;1,00;0,00;2,00;0,00;
Municipios;0992;Navas del Rey;5,00;8,00;8,00;12,00;
Municipios;1006;Nuevo Baztán;7,00;5,00;9,00;8,00;
Municipios;1013;Olmeda de las Fuentes;0,00;0,00;0,00;0,00;
Municipios;1028;Orusco de Tajuña;4,00;7,00;9,00;12,00;
Municipios;1049;Paracuellos de Jarama;19,00;21,00;16,00;19,00;
Municipios;1065;Parla;76,00;84,00;96,00;110,00;
Municipios;1071;Patones;4,00;7,00;10,00;13,00;
Municipios;1087;Pedrezuela;9,00;9,00;12,00;13,00;
Municipios;1090;Pelayos de la Presa;3,00;4,00;6,00;6,00;
Municipios;1104;Perales de Tajuña;4,00;3,00;3,00;2,00;
Municipios;1111;Pezuela de las Torres;3,00;2,00;2,00;2,00;
Municipios;1126;Pinilla del Valle;1,00;1,00;0,00;1,00;
Municipios;1132;Pinto;57,00;69,00;69,00;71,00;
Municipios;1147;Piñuécar-Gandullas;0,00;0,00;0,00;0,00;
Municipios;1150;Pozuelo de Alarcón;179,00;193,00;211,00;243,00;
Municipios;1163;Pozuelo del Rey;0,00;1,00;1,00;1,00;
Municipios;1179;Prádena del Rincón;0,00;1,00;2,00;2,00;
Municipios;1185;Puebla de la Sierra;1,00;1,00;3,00;1,00;
Municipios;9020;Puentes Viejas;1,00;2,00;3,00;2,00;
Municipios;1198;Quijorna;8,00;4,00;9,00;10,00;
Municipios;1202;Rascafría;7,00;8,00;5,00;9,00;
Municipios;1219;Redueña;0,00;0,00;0,00;0,00;
Municipios;1224;Ribatejada;2,00;3,00;4,00;6,00;
Municipios;1230;Rivas-Vaciamadrid;69,00;74,00;86,00;110,00;
Municipios;1245;Robledillo de la Jara;0,00;1,00;2,00;0,00;
Municipios;1258;Robledo de Chavela;16,00;13,00;9,00;15,00;
Municipios;1261;Robregordo;0,00;0,00;0,00;0,00;
Municipios;1277;Rozas de Madrid (Las);169,00;188,00;203,00;226,00;
Municipios;1283;Rozas de Puerto Real;3,00;4,00;5,00;4,00;
Municipios;1296;San Agustín del Guadalix;22,00;21,00;20,00;17,00;
Municipios;1300;San Fernando de Henares;55,00;60,00;65,00;64,00;
Municipios;1317;San Lorenzo de El Escorial;35,00;51,00;60,00;75,00;
Municipios;1338;San Martín de Valdeiglesias;46,00;41,00;41,00;42,00;
Municipios;1322;San Martín de la Vega;23,00;22,00;27,00;26,00;
Municipios;1343;San Sebastián de los Reyes;106,00;105,00;124,00;125,00;
Municipios;1356;Santa María de la Alameda;3,00;3,00;1,00;3,00;
Municipios;1369;Santorcaz;0,00;0,00;0,00;0,00;
Municipios;1375;Santos de la Humosa (Los);0,00;4,00;6,00;2,00;
Municipios;1381;Serna del Monte (La);0,00;0,00;0,00;0,00;
Municipios;1408;Serranillos del Valle;4,00;8,00;10,00;7,00;
Municipios;1415;Sevilla la Nueva;25,00;26,00;31,00;31,00;
Municipios;1436;Somosierra;1,00;2,00;1,00;1,00;
Municipios;1441;Soto del Real;20,00;23,00;29,00;27,00;
Municipios;1454;Talamanca de Jarama;8,00;10,00;12,00;10,00;
Municipios;1467;Tielmes;5,00;9,00;9,00;8,00;
Municipios;1473;Titulcia;1,00;1,00;2,00;2,00;
Municipios;1489;Torrejón de Ardoz;134,00;158,00;167,00;188,00;
Municipios;1505;Torrejón de Velasco;10,00;6,00;8,00;8,00;
Municipios;1492;Torrejón de la Calzada;7,00;6,00;8,00;12,00;
Municipios;1512;Torrelaguna;14,00;20,00;16,00;17,00;
Municipios;1527;Torrelodones;43,00;47,00;61,00;66,00;
Municipios;1533;Torremocha de Jarama;15,00;18,00;12,00;11,00;
Municipios;1548;Torres de la Alameda;27,00;31,00;28,00;23,00;
Municipios;9036;Tres Cantos;76,00;97,00;101,00;107,00;
Municipios;1551;Valdaracete;1,00;2,00;5,00;5,00;
Municipios;1564;Valdeavero;2,00;4,00;2,00;1,00;
Municipios;1570;Valdelaguna;2,00;2,00;2,00;2,00;
Municipios;1586;Valdemanco;2,00;2,00;5,00;4,00;
Municipios;1599;Valdemaqueda;2,00;2,00;4,00;4,00;
Municipios;1603;Valdemorillo;18,00;17,00;20,00;25,00;
Municipios;1610;Valdemoro;61,00;69,00;80,00;89,00;
Municipios;1625;Valdeolmos-Alalpardo;5,00;5,00;4,00;5,00;
Municipios;1631;Valdepiélagos;3,00;6,00;4,00;2,00;
Municipios;1646;Valdetorres de Jarama;6,00;6,00;9,00;11,00;
Municipios;1659;Valdilecha;8,00;11,00;8,00;6,00;
