Población.Censos.Censo anual.Población censada.Total. Población censada de 55 a 59 años. Unidad: Número. Fuente: Censo de Población Anual. INE.;
Serie;;;2021;2022;2023;2024
Comunidad de Madrid;;Comunidad de Madrid;464.573,00;475.774,00;489.564,00;502.889,00;
Zonas Estadísticas;01;Municipio de Madrid ;233.415,00;237.398,00;241.670,00;246.070,00;
Zonas Estadísticas;02;Norte Metropolitano ;24.438,00;25.051,00;25.743,00;26.284,00;
Zonas Estadísticas;03;Este Metropolitano  ;44.858,00;45.971,00;47.674,00;49.098,00;
Zonas Estadísticas;04;Sur Metropolitano   ;82.665,00;84.924,00;88.531,00;92.391,00;
Zonas Estadísticas;05;Oeste Metropolitano ;37.469,00;38.850,00;40.097,00;41.132,00;
Zonas Estadísticas;06;Sierra Norte        ;3.360,00;3.548,00;3.705,00;3.806,00;
Zonas Estadísticas;07;Nordeste Comunidad  ;4.503,00;4.834,00;5.159,00;5.449,00;
Zonas Estadísticas;08;Sudeste Comunidad   ;7.724,00;7.904,00;8.231,00;8.668,00;
Zonas Estadísticas;09;Sudoeste Comunidad  ;8.940,00;9.387,00;10.065,00;10.667,00;
Zonas Estadísticas;10;Sierra Sur          ;2.950,00;3.072,00;3.179,00;3.234,00;
Zonas Estadísticas;11;Sierra Central      ;14.251,00;14.835,00;15.510,00;16.090,00;
Municipios;0014;Acebeda (La);4,00;6,00;6,00;4,00;
Municipios;0029;Ajalvir;339,00;349,00;361,00;373,00;
Municipios;0035;Alameda del Valle;30,00;31,00;32,00;28,00;
Municipios;0040;Álamo (El);610,00;645,00;722,00;771,00;
Municipios;0053;Alcalá de Henares;13.297,00;13.643,00;14.183,00;14.555,00;
Municipios;0066;Alcobendas;7.801,00;8.010,00;8.226,00;8.349,00;
Municipios;0072;Alcorcón;10.510,00;10.996,00;11.620,00;12.391,00;
Municipios;0088;Aldea del Fresno;205,00;219,00;231,00;228,00;
Municipios;0091;Algete;1.665,00;1.697,00;1.682,00;1.694,00;
Municipios;0105;Alpedrete;1.202,00;1.257,00;1.336,00;1.403,00;
Municipios;0112;Ambite;58,00;65,00;65,00;67,00;
Municipios;0127;Anchuelo;76,00;77,00;70,00;86,00;
Municipios;0133;Aranjuez;4.041,00;4.151,00;4.385,00;4.503,00;
Municipios;0148;Arganda del Rey;3.466,00;3.595,00;3.877,00;3.999,00;
Municipios;0151;Arroyomolinos;1.476,00;1.681,00;1.866,00;2.000,00;
Municipios;0164;Atazar (El);9,00;11,00;14,00;14,00;
Municipios;0170;Batres;167,00;166,00;174,00;183,00;
Municipios;0186;Becerril de la Sierra;483,00;488,00;492,00;533,00;
Municipios;0199;Belmonte de Tajo;113,00;111,00;114,00;119,00;
Municipios;0210;Berrueco (El);48,00;56,00;49,00;53,00;
Municipios;0203;Berzosa del Lozoya;20,00;22,00;20,00;21,00;
Municipios;0225;Boadilla del Monte;3.821,00;4.194,00;4.655,00;5.072,00;
Municipios;0231;Boalo (El);547,00;616,00;647,00;692,00;
Municipios;0246;Braojos;24,00;24,00;23,00;23,00;
Municipios;0259;Brea de Tajo;36,00;36,00;38,00;51,00;
Municipios;0262;Brunete;763,00;808,00;871,00;921,00;
Municipios;0278;Buitrago del Lozoya;131,00;125,00;129,00;136,00;
Municipios;0284;Bustarviejo;222,00;228,00;222,00;220,00;
Municipios;0297;Cabanillas de la Sierra;56,00;70,00;79,00;84,00;
Municipios;0301;Cabrera (La);214,00;229,00;237,00;244,00;
Municipios;0318;Cadalso de los Vidrios;250,00;258,00;250,00;254,00;
Municipios;0323;Camarma de Esteruelas;466,00;498,00;529,00;559,00;
Municipios;0339;Campo Real;450,00;438,00;457,00;469,00;
Municipios;0344;Canencia;54,00;63,00;57,00;58,00;
Municipios;0357;Carabaña;136,00;143,00;150,00;158,00;
Municipios;0360;Casarrubuelos;227,00;221,00;245,00;266,00;
Municipios;0376;Cenicientos;166,00;167,00;169,00;158,00;
Municipios;0382;Cercedilla;619,00;631,00;657,00;652,00;
Municipios;0395;Cervera de Buitrago;20,00;21,00;20,00;19,00;
Municipios;0513;Chapinería;217,00;226,00;209,00;203,00;
Municipios;0528;Chinchón;429,00;425,00;425,00;477,00;
Municipios;0409;Ciempozuelos;1.698,00;1.787,00;1.873,00;1.968,00;
Municipios;0416;Cobeña;530,00;548,00;592,00;604,00;
Municipios;0468;Collado Mediano;575,00;598,00;646,00;706,00;
Municipios;0474;Collado Villalba;5.042,00;5.228,00;5.353,00;5.356,00;
Municipios;0455;Colmenar Viejo;3.757,00;3.833,00;3.959,00;4.053,00;
Municipios;0437;Colmenar de Oreja;613,00;615,00;651,00;674,00;
Municipios;0421;Colmenar del Arroyo;137,00;144,00;149,00;172,00;
Municipios;0442;Colmenarejo;724,00;758,00;791,00;832,00;
Municipios;0480;Corpa;42,00;43,00;48,00;46,00;
Municipios;0493;Coslada;5.650,00;5.483,00;5.320,00;5.344,00;
Municipios;0506;Cubas de la Sagra;372,00;376,00;424,00;447,00;
Municipios;0534;Daganzo de Arriba;706,00;785,00;846,00;917,00;
