Población.Censos.Censo anual.Población censada.Total. Población censada de 45 a 49 años. Unidad: Número. Fuente: Censo de Población Anual. INE.;
Serie;;;2021;2022;2023;2024
Comunidad de Madrid;;Comunidad de Madrid;580.703,00;589.165,00;597.127,00;604.339,00;
Zonas Estadísticas;01;Municipio de Madrid ;263.435,00;263.776,00;265.700,00;268.873,00;
Zonas Estadísticas;02;Norte Metropolitano ;31.672,00;32.365,00;33.132,00;33.732,00;
Zonas Estadísticas;03;Este Metropolitano  ;60.485,00;62.835,00;63.880,00;64.801,00;
Zonas Estadísticas;04;Sur Metropolitano   ;120.941,00;124.366,00;127.502,00;130.045,00;
Zonas Estadísticas;05;Oeste Metropolitano ;46.189,00;46.378,00;46.165,00;45.199,00;
Zonas Estadísticas;06;Sierra Norte        ;4.379,00;4.469,00;4.554,00;4.599,00;
Zonas Estadísticas;07;Nordeste Comunidad  ;7.147,00;7.244,00;7.376,00;7.419,00;
Zonas Estadísticas;08;Sudeste Comunidad   ;10.134,00;10.491,00;10.831,00;11.254,00;
Zonas Estadísticas;09;Sudoeste Comunidad  ;14.765,00;15.550,00;16.395,00;17.135,00;
Zonas Estadísticas;10;Sierra Sur          ;3.169,00;3.301,00;3.399,00;3.392,00;
Zonas Estadísticas;11;Sierra Central      ;18.387,00;18.390,00;18.193,00;17.890,00;
Municipios;0014;Acebeda (La);4,00;4,00;3,00;2,00;
Municipios;0029;Ajalvir;576,00;588,00;579,00;532,00;
Municipios;0035;Alameda del Valle;17,00;16,00;26,00;21,00;
Municipios;0040;Álamo (El);868,00;868,00;913,00;939,00;
Municipios;0053;Alcalá de Henares;17.716,00;17.859,00;17.758,00;17.472,00;
Municipios;0066;Alcobendas;10.631,00;10.758,00;11.030,00;11.069,00;
Municipios;0072;Alcorcón;16.726,00;16.838,00;16.690,00;16.500,00;
Municipios;0088;Aldea del Fresno;257,00;291,00;319,00;319,00;
Municipios;0091;Algete;1.886,00;1.854,00;1.837,00;1.783,00;
Municipios;0105;Alpedrete;1.667,00;1.621,00;1.580,00;1.513,00;
Municipios;0112;Ambite;69,00;63,00;67,00;62,00;
Municipios;0127;Anchuelo;128,00;131,00;135,00;151,00;
Municipios;0133;Aranjuez;5.245,00;5.370,00;5.557,00;5.651,00;
Municipios;0148;Arganda del Rey;5.283,00;5.534,00;5.742,00;5.890,00;
Municipios;0151;Arroyomolinos;3.645,00;4.096,00;4.492,00;4.912,00;
Municipios;0164;Atazar (El);9,00;9,00;6,00;7,00;
Municipios;0170;Batres;202,00;180,00;181,00;170,00;
Municipios;0186;Becerril de la Sierra;621,00;639,00;649,00;640,00;
Municipios;0199;Belmonte de Tajo;148,00;138,00;143,00;155,00;
Municipios;0210;Berrueco (El);69,00;75,00;78,00;79,00;
Municipios;0203;Berzosa del Lozoya;11,00;15,00;14,00;18,00;
Municipios;0225;Boadilla del Monte;6.704,00;6.791,00;6.627,00;6.471,00;
Municipios;0231;Boalo (El);966,00;985,00;964,00;957,00;
Municipios;0246;Braojos;15,00;13,00;11,00;15,00;
Municipios;0259;Brea de Tajo;33,00;40,00;41,00;45,00;
Municipios;0262;Brunete;1.033,00;1.061,00;1.102,00;1.135,00;
Municipios;0278;Buitrago del Lozoya;166,00;167,00;179,00;176,00;
Municipios;0284;Bustarviejo;289,00;308,00;317,00;337,00;
Municipios;0297;Cabanillas de la Sierra;85,00;85,00;95,00;106,00;
Municipios;0301;Cabrera (La);251,00;268,00;282,00;273,00;
Municipios;0318;Cadalso de los Vidrios;254,00;259,00;264,00;264,00;
Municipios;0323;Camarma de Esteruelas;835,00;872,00;890,00;897,00;
Municipios;0339;Campo Real;573,00;605,00;643,00;687,00;
Municipios;0344;Canencia;30,00;25,00;25,00;28,00;
Municipios;0357;Carabaña;199,00;210,00;211,00;246,00;
Municipios;0360;Casarrubuelos;416,00;447,00;466,00;468,00;
Municipios;0376;Cenicientos;136,00;145,00;144,00;160,00;
Municipios;0382;Cercedilla;649,00;646,00;636,00;631,00;
Municipios;0395;Cervera de Buitrago;19,00;18,00;17,00;16,00;
Municipios;0513;Chapinería;214,00;228,00;234,00;239,00;
Municipios;0528;Chinchón;410,00;429,00;433,00;491,00;
Municipios;0409;Ciempozuelos;2.315,00;2.383,00;2.462,00;2.505,00;
Municipios;0416;Cobeña;769,00;787,00;814,00;818,00;
Municipios;0468;Collado Mediano;735,00;727,00;724,00;734,00;
Municipios;0474;Collado Villalba;5.658,00;5.699,00;5.713,00;5.721,00;
Municipios;0455;Colmenar Viejo;4.463,00;4.620,00;4.807,00;4.960,00;
Municipios;0437;Colmenar de Oreja;737,00;765,00;819,00;846,00;
Municipios;0421;Colmenar del Arroyo;168,00;169,00;163,00;163,00;
Municipios;0442;Colmenarejo;950,00;949,00;944,00;926,00;
Municipios;0480;Corpa;58,00;72,00;83,00;78,00;
Municipios;0493;Coslada;6.686,00;6.948,00;6.984,00;7.171,00;
Municipios;0506;Cubas de la Sagra;702,00;754,00;800,00;857,00;
Municipios;0534;Daganzo de Arriba;1.338,00;1.294,00;1.226,00;1.154,00;
Municipios;0549;Escorial (El);1.460,00;1.412,00;1.390,00;1.399,00;
Municipios;0552;Estremera;110,00;115,00;118,00;126,00;
Municipios;0565;Fresnedillas de la Oliva;132,00;150,00;153,00;162,00;
Municipios;0571;Fresno de Torote;282,00;273,00;260,00;253,00;
Municipios;0587;Fuenlabrada;15.994,00;15.682,00;15.603,00;15.980,00;
Municipios;0590;Fuente el Saz de Jarama;659,00;656,00;657,00;660,00;
Municipios;0604;Fuentidueña de Tajo;191,00;197,00;193,00;195,00;
Municipios;0611;Galapagar;3.037,00;3.034,00;3.046,00;3.073,00;
Municipios;0626;Garganta de los Montes;41,00;38,00;46,00;37,00;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;40,00;48,00;42,00;44,00;
Municipios;0647;Gascones;14,00;16,00;21,00;22,00;
Municipios;0650;Getafe;17.326,00;17.528,00;17.731,00;17.952,00;
Municipios;0663;Griñón;965,00;965,00;1.000,00;1.028,00;
Municipios;0679;Guadalix de la Sierra;677,00;663,00;653,00;659,00;
Municipios;0685;Guadarrama;1.509,00;1.561,00;1.524,00;1.530,00;
Municipios;0698;Hiruela (La);6,00;7,00;4,00;7,00;
Municipios;0702;Horcajo de la Sierra-Aoslos;17,00;17,00;25,00;26,00;
Municipios;0719;Horcajuelo de la Sierra;11,00;10,00;7,00;7,00;
Municipios;0724;Hoyo de Manzanares;734,00;765,00;768,00;787,00;
Municipios;0730;Humanes de Madrid;1.854,00;2.003,00;2.171,00;2.349,00;
Municipios;0745;Leganés;16.863,00;17.496,00;18.027,00;18.341,00;
Municipios;0758;Loeches;1.025,00;1.050,00;1.085,00;1.065,00;
Municipios;0761;Lozoya;60,00;53,00;46,00;51,00;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;149,00;164,00;169,00;165,00;
Municipios;0783;Madarcos;4,00;6,00;7,00;2,00;
Municipios;0796;Madrid;263.435,00;263.776,00;265.700,00;268.873,00;
Municipios;0800;Majadahonda;6.192,00;6.181,00;6.183,00;6.037,00;
Municipios;0822;Manzanares el Real;1.032,00;1.043,00;1.099,00;1.110,00;
Municipios;0838;Meco;1.553,00;1.561,00;1.587,00;1.625,00;
Municipios;0843;Mejorada del Campo;1.969,00;2.130,00;2.216,00;2.400,00;
Municipios;0856;Miraflores de la Sierra;603,00;653,00;690,00;688,00;
Municipios;0869;Molar (El);896,00;921,00;992,00;1.023,00;
Municipios;0875;Molinos (Los);345,00;331,00;345,00;337,00;
Municipios;0881;Montejo de la Sierra;33,00;30,00;32,00;25,00;
Municipios;0894;Moraleja de Enmedio;473,00;476,00;481,00;529,00;
Municipios;0908;Moralzarzal;1.573,00;1.565,00;1.489,00;1.486,00;
Municipios;0915;Morata de Tajuña;705,00;717,00;720,00;757,00;
Municipios;0920;Móstoles;16.253,00;17.239,00;18.193,00;18.952,00;
Municipios;0936;Navacerrada;317,00;308,00;320,00;300,00;
Municipios;0941;Navalafuente;147,00;154,00;159,00;160,00;
Municipios;0954;Navalagamella;255,00;293,00;290,00;289,00;
Municipios;0967;Navalcarnero;2.792,00;2.996,00;3.161,00;3.323,00;
Municipios;0973;Navarredonda y San Mamés;4,00;7,00;4,00;6,00;
Municipios;0992;Navas del Rey;257,00;269,00;287,00;293,00;
Municipios;1006;Nuevo Baztán;613,00;617,00;626,00;643,00;
Municipios;1013;Olmeda de las Fuentes;51,00;53,00;65,00;57,00;
Municipios;1028;Orusco de Tajuña;130,00;125,00;125,00;129,00;
Municipios;1049;Paracuellos de Jarama;3.184,00;3.361,00;3.460,00;3.476,00;
Municipios;1065;Parla;11.977,00;12.762,00;13.610,00;14.313,00;
Municipios;1071;Patones;44,00;38,00;39,00;42,00;
Municipios;1087;Pedrezuela;705,00;714,00;715,00;712,00;
Municipios;1090;Pelayos de la Presa;218,00;219,00;240,00;244,00;
Municipios;1104;Perales de Tajuña;266,00;282,00;284,00;271,00;
Municipios;1111;Pezuela de las Torres;68,00;66,00;75,00;82,00;
Municipios;1126;Pinilla del Valle;16,00;14,00;17,00;17,00;
Municipios;1132;Pinto;5.409,00;5.651,00;5.796,00;5.852,00;
Municipios;1147;Piñuécar-Gandullas;13,00;15,00;12,00;14,00;
Municipios;1150;Pozuelo de Alarcón;7.166,00;7.094,00;6.971,00;6.664,00;
Municipios;1163;Pozuelo del Rey;98,00;108,00;125,00;138,00;
Municipios;1179;Prádena del Rincón;20,00;23,00;18,00;18,00;
Municipios;1185;Puebla de la Sierra;11,00;11,00;11,00;9,00;
Municipios;9020;Puentes Viejas;59,00;64,00;73,00;78,00;
Municipios;1198;Quijorna;422,00;413,00;417,00;412,00;
Municipios;1202;Rascafría;121,00;114,00;112,00;109,00;
Municipios;1219;Redueña;32,00;27,00;26,00;27,00;
Municipios;1224;Ribatejada;77,00;68,00;73,00;75,00;
Municipios;1230;Rivas-Vaciamadrid;8.539,00;9.103,00;9.347,00;9.486,00;
Municipios;1245;Robledillo de la Jara;8,00;15,00;16,00;14,00;
Municipios;1258;Robledo de Chavela;426,00;428,00;448,00;418,00;
Municipios;1261;Robregordo;6,00;7,00;7,00;9,00;
Municipios;1277;Rozas de Madrid (Las);9.150,00;9.054,00;9.037,00;8.747,00;
