Población.Censos.Censo anual.Población censada.Total. Población censada de 70 a 74 años. Unidad: Número. Fuente: Censo de Población Anual. INE.;
Serie;;;2021;2022;2023;2024
Comunidad de Madrid;;Comunidad de Madrid;291.796,00;294.621,00;298.329,00;297.382,00;
Zonas Estadísticas;01;Municipio de Madrid ;143.911,00;142.940,00;143.320,00;142.120,00;
Zonas Estadísticas;02;Norte Metropolitano ;14.026,00;14.418,00;14.808,00;14.750,00;
Zonas Estadísticas;03;Este Metropolitano  ;26.927,00;28.228,00;29.523,00;30.182,00;
Zonas Estadísticas;04;Sur Metropolitano   ;66.815,00;67.676,00;68.221,00;67.285,00;
Zonas Estadísticas;05;Oeste Metropolitano ;20.309,00;20.729,00;21.051,00;21.012,00;
Zonas Estadísticas;06;Sierra Norte        ;1.704,00;1.742,00;1.855,00;1.876,00;
Zonas Estadísticas;07;Nordeste Comunidad  ;1.869,00;1.979,00;2.051,00;2.165,00;
Zonas Estadísticas;08;Sudeste Comunidad   ;3.811,00;3.971,00;4.146,00;4.304,00;
Zonas Estadísticas;09;Sudoeste Comunidad  ;4.204,00;4.490,00;4.710,00;4.877,00;
Zonas Estadísticas;10;Sierra Sur          ;1.653,00;1.703,00;1.738,00;1.769,00;
Zonas Estadísticas;11;Sierra Central      ;6.567,00;6.745,00;6.906,00;7.042,00;
Municipios;0014;Acebeda (La);8,00;12,00;11,00;11,00;
Municipios;0029;Ajalvir;140,00;131,00;138,00;121,00;
Municipios;0035;Alameda del Valle;15,00;14,00;16,00;12,00;
Municipios;0040;Álamo (El);351,00;371,00;387,00;367,00;
Municipios;0053;Alcalá de Henares;9.452,00;9.528,00;9.673,00;9.532,00;
Municipios;0066;Alcobendas;5.723,00;5.665,00;5.564,00;5.282,00;
Municipios;0072;Alcorcón;10.759,00;10.351,00;9.870,00;9.179,00;
Municipios;0088;Aldea del Fresno;128,00;140,00;143,00;132,00;
Municipios;0091;Algete;649,00;682,00;715,00;744,00;
Municipios;0105;Alpedrete;479,00;463,00;470,00;475,00;
Municipios;0112;Ambite;23,00;25,00;30,00;34,00;
Municipios;0127;Anchuelo;41,00;47,00;40,00;46,00;
Municipios;0133;Aranjuez;2.450,00;2.509,00;2.579,00;2.607,00;
Municipios;0148;Arganda del Rey;1.853,00;1.988,00;2.099,00;2.104,00;
Municipios;0151;Arroyomolinos;596,00;668,00;700,00;761,00;
Municipios;0164;Atazar (El);2,00;2,00;3,00;2,00;
Municipios;0170;Batres;74,00;84,00;86,00;87,00;
Municipios;0186;Becerril de la Sierra;256,00;263,00;258,00;272,00;
Municipios;0199;Belmonte de Tajo;76,00;73,00;75,00;76,00;
Municipios;0210;Berrueco (El);44,00;45,00;46,00;54,00;
Municipios;0203;Berzosa del Lozoya;11,00;9,00;14,00;14,00;
Municipios;0225;Boadilla del Monte;1.766,00;1.843,00;1.911,00;1.907,00;
Municipios;0231;Boalo (El);239,00;247,00;273,00;267,00;
Municipios;0246;Braojos;9,00;10,00;7,00;9,00;
Municipios;0259;Brea de Tajo;28,00;28,00;31,00;32,00;
Municipios;0262;Brunete;358,00;363,00;369,00;369,00;
Municipios;0278;Buitrago del Lozoya;73,00;74,00;75,00;84,00;
Municipios;0284;Bustarviejo;88,00;92,00;100,00;101,00;
Municipios;0297;Cabanillas de la Sierra;18,00;18,00;26,00;20,00;
Municipios;0301;Cabrera (La);89,00;91,00;107,00;112,00;
Municipios;0318;Cadalso de los Vidrios;185,00;183,00;194,00;186,00;
Municipios;0323;Camarma de Esteruelas;226,00;244,00;236,00;247,00;
Municipios;0339;Campo Real;169,00;169,00;178,00;197,00;
Municipios;0344;Canencia;13,00;16,00;19,00;20,00;
Municipios;0357;Carabaña;75,00;85,00;89,00;82,00;
Municipios;0360;Casarrubuelos;122,00;113,00;125,00;133,00;
Municipios;0376;Cenicientos;111,00;112,00;107,00;115,00;
Municipios;0382;Cercedilla;278,00;287,00;292,00;295,00;
Municipios;0395;Cervera de Buitrago;8,00;10,00;11,00;10,00;
Municipios;0513;Chapinería;89,00;81,00;84,00;77,00;
Municipios;0528;Chinchón;256,00;269,00;257,00;259,00;
Municipios;0409;Ciempozuelos;810,00;846,00;847,00;864,00;
Municipios;0416;Cobeña;142,00;142,00;155,00;189,00;
Municipios;0468;Collado Mediano;274,00;269,00;274,00;296,00;
Municipios;0474;Collado Villalba;2.357,00;2.372,00;2.492,00;2.560,00;
Municipios;0455;Colmenar Viejo;1.632,00;1.707,00;1.838,00;1.922,00;
Municipios;0437;Colmenar de Oreja;336,00;366,00;384,00;396,00;
Municipios;0421;Colmenar del Arroyo;81,00;74,00;78,00;75,00;
Municipios;0442;Colmenarejo;304,00;319,00;323,00;324,00;
Municipios;0480;Corpa;22,00;30,00;35,00;38,00;
Municipios;0493;Coslada;5.003,00;5.241,00;5.448,00;5.506,00;
Municipios;0506;Cubas de la Sagra;138,00;156,00;167,00;186,00;
Municipios;0534;Daganzo de Arriba;186,00;197,00;216,00;248,00;
Municipios;0549;Escorial (El);760,00;797,00;794,00;830,00;
Municipios;0552;Estremera;58,00;64,00;66,00;71,00;
