Población.Censos.Censo anual.Población censada.Total. Población censada de 15 a 19 años. Unidad: Número. Fuente: Censo de Población Anual. INE.;
Serie;;;2021;2022;2023;2024
Comunidad de Madrid;;Comunidad de Madrid;343.411,00;351.922,00;366.978,00;381.092,00;
Zonas Estadísticas;01;Municipio de Madrid ;146.346,00;148.191,00;154.206,00;160.310,00;
Zonas Estadísticas;02;Norte Metropolitano ;20.366,00;20.783,00;21.647,00;22.353,00;
Zonas Estadísticas;03;Este Metropolitano  ;35.946,00;37.091,00;39.153,00;40.633,00;
Zonas Estadísticas;04;Sur Metropolitano   ;69.847,00;72.145,00;75.490,00;78.923,00;
Zonas Estadísticas;05;Oeste Metropolitano ;35.337,00;36.493,00;37.473,00;38.198,00;
Zonas Estadísticas;06;Sierra Norte        ;2.319,00;2.353,00;2.482,00;2.611,00;
Zonas Estadísticas;07;Nordeste Comunidad  ;4.299,00;4.491,00;4.722,00;4.966,00;
Zonas Estadísticas;08;Sudeste Comunidad   ;6.113,00;6.399,00;6.793,00;7.033,00;
Zonas Estadísticas;09;Sudoeste Comunidad  ;9.080,00;9.669,00;10.269,00;10.760,00;
Zonas Estadísticas;10;Sierra Sur          ;1.998,00;2.059,00;2.123,00;2.249,00;
Zonas Estadísticas;11;Sierra Central      ;11.760,00;12.248,00;12.620,00;13.056,00;
Municipios;0014;Acebeda (La);1,00;1,00;0,00;0,00;
Municipios;0029;Ajalvir;272,00;308,00;295,00;324,00;
Municipios;0035;Alameda del Valle;8,00;5,00;9,00;10,00;
Municipios;0040;Álamo (El);592,00;635,00;667,00;658,00;
Municipios;0053;Alcalá de Henares;10.511,00;10.820,00;11.328,00;11.669,00;
Municipios;0066;Alcobendas;6.527,00;6.714,00;7.083,00;7.370,00;
Municipios;0072;Alcorcón;9.157,00;9.371,00;9.557,00;9.727,00;
Municipios;0088;Aldea del Fresno;148,00;156,00;182,00;197,00;
Municipios;0091;Algete;1.511,00;1.465,00;1.500,00;1.499,00;
Municipios;0105;Alpedrete;1.079,00;1.139,00;1.196,00;1.200,00;
Municipios;0112;Ambite;31,00;25,00;28,00;30,00;
Municipios;0127;Anchuelo;72,00;62,00;67,00;75,00;
Municipios;0133;Aranjuez;3.374,00;3.466,00;3.735,00;3.936,00;
Municipios;0148;Arganda del Rey;2.953,00;3.137,00;3.395,00;3.611,00;
Municipios;0151;Arroyomolinos;2.080,00;2.258,00;2.407,00;2.608,00;
Municipios;0164;Atazar (El);7,00;8,00;7,00;7,00;
Municipios;0170;Batres;116,00;121,00;124,00;125,00;
Municipios;0186;Becerril de la Sierra;377,00;403,00;420,00;435,00;
Municipios;0199;Belmonte de Tajo;81,00;87,00;96,00;95,00;
Municipios;0210;Berrueco (El);28,00;33,00;23,00;28,00;
Municipios;0203;Berzosa del Lozoya;13,00;17,00;18,00;22,00;
Municipios;0225;Boadilla del Monte;5.048,00;5.499,00;5.747,00;5.864,00;
Municipios;0231;Boalo (El);470,00;520,00;555,00;581,00;
Municipios;0246;Braojos;12,00;8,00;4,00;8,00;
