Población.Censos.Censo anual.Población censada.Total. Población censada de 30 a 34 años. Unidad: Número. Fuente: Censo de Población Anual. INE.;
Serie;;;2021;2022;2023;2024
Comunidad de Madrid;;Comunidad de Madrid;425.055,00;419.675,00;435.389,00;451.510,00;
Zonas Estadísticas;01;Municipio de Madrid ;227.024,00;225.573,00;239.794,00;254.253,00;
Zonas Estadísticas;02;Norte Metropolitano ;20.673,00;20.144,00;20.609,00;21.154,00;
Zonas Estadísticas;03;Este Metropolitano  ;41.482,00;40.687,00;41.094,00;41.067,00;
Zonas Estadísticas;04;Sur Metropolitano   ;78.054,00;75.659,00;75.393,00;76.235,00;
Zonas Estadísticas;05;Oeste Metropolitano ;25.350,00;25.372,00;26.005,00;26.338,00;
Zonas Estadísticas;06;Sierra Norte        ;2.308,00;2.336,00;2.358,00;2.317,00;
Zonas Estadísticas;07;Nordeste Comunidad  ;3.894,00;3.889,00;4.011,00;4.028,00;
Zonas Estadísticas;08;Sudeste Comunidad   ;6.849,00;6.852,00;6.891,00;6.848,00;
Zonas Estadísticas;09;Sudoeste Comunidad  ;8.432,00;8.307,00;8.146,00;8.099,00;
Zonas Estadísticas;10;Sierra Sur          ;2.114,00;2.038,00;2.027,00;2.058,00;
Zonas Estadísticas;11;Sierra Central      ;8.875,00;8.818,00;9.061,00;9.113,00;
Municipios;0014;Acebeda (La);2,00;3,00;3,00;4,00;
Municipios;0029;Ajalvir;317,00;295,00;302,00;334,00;
Municipios;0035;Alameda del Valle;10,00;13,00;16,00;10,00;
Municipios;0040;Álamo (El);535,00;563,00;564,00;577,00;
Municipios;0053;Alcalá de Henares;11.578,00;11.406,00;11.628,00;11.789,00;
Municipios;0066;Alcobendas;6.857,00;6.679,00;6.969,00;7.126,00;
Municipios;0072;Alcorcón;8.320,00;8.196,00;8.355,00;8.558,00;
Municipios;0088;Aldea del Fresno;207,00;206,00;194,00;190,00;
Municipios;0091;Algete;1.081,00;1.029,00;1.042,00;1.036,00;
Municipios;0105;Alpedrete;670,00;647,00;711,00;728,00;
Municipios;0112;Ambite;34,00;26,00;25,00;30,00;
Municipios;0127;Anchuelo;95,00;84,00;93,00;85,00;
Municipios;0133;Aranjuez;3.443,00;3.283,00;3.320,00;3.433,00;
Municipios;0148;Arganda del Rey;3.805,00;3.747,00;3.826,00;3.688,00;
Municipios;0151;Arroyomolinos;1.808,00;1.688,00;1.643,00;1.622,00;
Municipios;0164;Atazar (El);2,00;2,00;1,00;3,00;
Municipios;0170;Batres;91,00;96,00;95,00;97,00;
Municipios;0186;Becerril de la Sierra;293,00;297,00;291,00;323,00;
Municipios;0199;Belmonte de Tajo;102,00;111,00;121,00;133,00;
Municipios;0210;Berrueco (El);36,00;25,00;27,00;35,00;
Municipios;0203;Berzosa del Lozoya;9,00;9,00;8,00;7,00;
Municipios;0225;Boadilla del Monte;2.232,00;2.406,00;2.487,00;2.430,00;
Municipios;0231;Boalo (El);350,00;362,00;349,00;354,00;
Municipios;0246;Braojos;8,00;8,00;8,00;13,00;
Municipios;0259;Brea de Tajo;17,00;23,00;23,00;30,00;
Municipios;0262;Brunete;573,00;577,00;586,00;585,00;
