Población.Censos.Censo anual.Población censada.Total. Población censada de 65 a 69 años. Unidad: Número. Fuente: Censo de Población Anual. INE.;
Serie;;;2021;2022;2023;2024
Comunidad de Madrid;;Comunidad de Madrid;322.002,00;329.292,00;339.376,00;352.591,00;
Zonas Estadísticas;01;Municipio de Madrid ;155.658,00;159.728,00;165.765,00;174.085,00;
Zonas Estadísticas;02;Norte Metropolitano ;15.903,00;16.233,00;16.503,00;17.276,00;
Zonas Estadísticas;03;Este Metropolitano  ;33.756,00;34.894,00;36.231,00;37.261,00;
Zonas Estadísticas;04;Sur Metropolitano   ;70.165,00;70.012,00;69.942,00;70.240,00;
Zonas Estadísticas;05;Oeste Metropolitano ;22.261,00;22.888,00;23.882,00;25.013,00;
Zonas Estadísticas;06;Sierra Norte        ;2.052,00;2.213,00;2.331,00;2.437,00;
Zonas Estadísticas;07;Nordeste Comunidad  ;2.487,00;2.546,00;2.702,00;2.872,00;
Zonas Estadísticas;08;Sudeste Comunidad   ;4.795,00;5.134,00;5.429,00;5.786,00;
Zonas Estadísticas;09;Sudoeste Comunidad  ;5.393,00;5.677,00;5.948,00;6.232,00;
Zonas Estadísticas;10;Sierra Sur          ;1.893,00;1.979,00;2.076,00;2.178,00;
Zonas Estadísticas;11;Sierra Central      ;7.639,00;7.988,00;8.567,00;9.211,00;
Municipios;0014;Acebeda (La);10,00;11,00;11,00;11,00;
Municipios;0029;Ajalvir;148,00;154,00;166,00;167,00;
Municipios;0035;Alameda del Valle;10,00;19,00;22,00;17,00;
Municipios;0040;Álamo (El);411,00;417,00;437,00;459,00;
Municipios;0053;Alcalá de Henares;10.574,00;10.806,00;11.076,00;11.255,00;
Municipios;0066;Alcobendas;5.428,00;5.381,00;5.336,00;5.441,00;
Municipios;0072;Alcorcón;8.484,00;8.074,00;7.694,00;7.514,00;
Municipios;0088;Aldea del Fresno;166,00;163,00;180,00;195,00;
Municipios;0091;Algete;908,00;995,00;1.056,00;1.096,00;
Municipios;0105;Alpedrete;568,00;584,00;626,00;664,00;
Municipios;0112;Ambite;32,00;35,00;29,00;31,00;
Municipios;0127;Anchuelo;53,00;56,00;62,00;72,00;
Municipios;0133;Aranjuez;2.724,00;2.840,00;2.991,00;3.117,00;
Municipios;0148;Arganda del Rey;2.333,00;2.424,00;2.576,00;2.734,00;
Municipios;0151;Arroyomolinos;866,00;920,00;986,00;1.025,00;
Municipios;0164;Atazar (El);5,00;6,00;6,00;5,00;
Municipios;0170;Batres;114,00;101,00;97,00;90,00;
Municipios;0186;Becerril de la Sierra;271,00;273,00;308,00;330,00;
Municipios;0199;Belmonte de Tajo;79,00;92,00;108,00;115,00;
Municipios;0210;Berrueco (El);47,00;49,00;51,00;51,00;
Municipios;0203;Berzosa del Lozoya;19,00;23,00;20,00;26,00;
Municipios;0225;Boadilla del Monte;1.790,00;1.873,00;1.989,00;2.150,00;
Municipios;0231;Boalo (El);300,00;312,00;322,00;365,00;
Municipios;0246;Braojos;10,00;10,00;8,00;9,00;
Municipios;0259;Brea de Tajo;44,00;42,00;38,00;45,00;
Municipios;0262;Brunete;391,00;421,00;419,00;445,00;
Municipios;0278;Buitrago del Lozoya;88,00;91,00;87,00;94,00;
Municipios;0284;Bustarviejo;114,00;126,00;136,00;139,00;
Municipios;0297;Cabanillas de la Sierra;30,00;37,00;54,00;67,00;
Municipios;0301;Cabrera (La);142,00;140,00;137,00;136,00;
Municipios;0318;Cadalso de los Vidrios;174,00;177,00;183,00;195,00;
Municipios;0323;Camarma de Esteruelas;276,00;272,00;312,00;341,00;
Municipios;0339;Campo Real;239,00;264,00;287,00;308,00;
Municipios;0344;Canencia;25,00;31,00;33,00;35,00;
Municipios;0357;Carabaña;97,00;88,00;101,00;124,00;
Municipios;0360;Casarrubuelos;157,00;174,00;173,00;187,00;
Municipios;0376;Cenicientos;123,00;129,00;134,00;139,00;
Municipios;0382;Cercedilla;329,00;367,00;397,00;401,00;
Municipios;0395;Cervera de Buitrago;7,00;9,00;9,00;10,00;
Municipios;0513;Chapinería;93,00;101,00;113,00;121,00;
Municipios;0528;Chinchón;297,00;308,00;329,00;347,00;
Municipios;0409;Ciempozuelos;994,00;1.095,00;1.183,00;1.294,00;
Municipios;0416;Cobeña;226,00;249,00;268,00;302,00;
Municipios;0468;Collado Mediano;318,00;364,00;361,00;391,00;
Municipios;0474;Collado Villalba;2.809,00;2.981,00;3.195,00;3.350,00;
Municipios;0455;Colmenar Viejo;2.149,00;2.242,00;2.347,00;2.548,00;
Municipios;0437;Colmenar de Oreja;418,00;442,00;478,00;494,00;
Municipios;0421;Colmenar del Arroyo;95,00;101,00;105,00;119,00;
Municipios;0442;Colmenarejo;348,00;369,00;409,00;430,00;
Municipios;0480;Corpa;36,00;40,00;40,00;45,00;
Municipios;0493;Coslada;6.006,00;5.999,00;6.091,00;6.106,00;
Municipios;0506;Cubas de la Sagra;184,00;192,00;220,00;227,00;
Municipios;0534;Daganzo de Arriba;309,00;320,00;314,00;329,00;
Municipios;0549;Escorial (El);884,00;906,00;1.002,00;1.099,00;
Municipios;0552;Estremera;72,00;77,00;83,00;80,00;
Municipios;0565;Fresnedillas de la Oliva;65,00;70,00;78,00;98,00;
Municipios;0571;Fresno de Torote;99,00;89,00;98,00;93,00;
Municipios;0587;Fuenlabrada;12.741,00;13.637,00;14.234,00;14.464,00;
Municipios;0590;Fuente el Saz de Jarama;308,00;318,00;320,00;342,00;
Municipios;0604;Fuentidueña de Tajo;136,00;130,00;140,00;143,00;
Municipios;0611;Galapagar;1.445,00;1.553,00;1.653,00;1.865,00;
Municipios;0626;Garganta de los Montes;33,00;37,00;34,00;40,00;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;20,00;27,00;29,00;34,00;
Municipios;0647;Gascones;15,00;15,00;17,00;18,00;
Municipios;0650;Getafe;8.449,00;8.274,00;8.266,00;8.361,00;
Municipios;0663;Griñón;538,00;575,00;576,00;579,00;
Municipios;0679;Guadalix de la Sierra;273,00;288,00;319,00;332,00;
Municipios;0685;Guadarrama;758,00;786,00;814,00;825,00;
Municipios;0698;Hiruela (La);7,00;5,00;7,00;6,00;
Municipios;0702;Horcajo de la Sierra-Aoslos;14,00;15,00;19,00;21,00;
Municipios;0719;Horcajuelo de la Sierra;6,00;6,00;8,00;5,00;
Municipios;0724;Hoyo de Manzanares;378,00;405,00;451,00;503,00;
Municipios;0730;Humanes de Madrid;732,00;797,00;797,00;855,00;
Municipios;0745;Leganés;10.033,00;9.514,00;9.237,00;9.078,00;
Municipios;0758;Loeches;249,00;280,00;281,00;318,00;
Municipios;0761;Lozoya;43,00;47,00;48,00;47,00;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;59,00;64,00;72,00;84,00;
Municipios;0783;Madarcos;4,00;5,00;6,00;3,00;
Municipios;0796;Madrid;155.658,00;159.728,00;165.765,00;174.085,00;
Municipios;0800;Majadahonda;3.505,00;3.456,00;3.531,00;3.643,00;
Municipios;0822;Manzanares el Real;337,00;335,00;375,00;426,00;
Municipios;0838;Meco;514,00;531,00;566,00;625,00;
Municipios;0843;Mejorada del Campo;1.291,00;1.343,00;1.407,00;1.466,00;
Municipios;0856;Miraflores de la Sierra;287,00;299,00;315,00;349,00;
Municipios;0869;Molar (El);336,00;352,00;371,00;376,00;
Municipios;0875;Molinos (Los);248,00;269,00;294,00;312,00;
Municipios;0881;Montejo de la Sierra;12,00;13,00;17,00;18,00;
Municipios;0894;Moraleja de Enmedio;247,00;282,00;286,00;289,00;
Municipios;0908;Moralzarzal;509,00;552,00;595,00;646,00;
