Población.Censos.Censo anual.Población censada.Total. Población censada de 25 a 29 años. Unidad: Número. Fuente: Censo de Población Anual. INE.;
Serie;;;2021;2022;2023;2024
Comunidad de Madrid;;Comunidad de Madrid;387.486,00;386.115,00;407.555,00;424.615,00;
Zonas Estadísticas;01;Municipio de Madrid ;211.701,00;211.135,00;228.310,00;239.462,00;
Zonas Estadísticas;02;Norte Metropolitano ;19.198,00;19.009,00;19.588,00;20.505,00;
Zonas Estadísticas;03;Este Metropolitano  ;35.040,00;34.623,00;35.264,00;35.871,00;
Zonas Estadísticas;04;Sur Metropolitano   ;66.903,00;65.993,00;67.417,00;70.138,00;
Zonas Estadísticas;05;Oeste Metropolitano ;26.645,00;27.058,00;28.091,00;28.916,00;
Zonas Estadísticas;06;Sierra Norte        ;1.964,00;2.019,00;2.139,00;2.152,00;
Zonas Estadísticas;07;Nordeste Comunidad  ;3.329,00;3.330,00;3.431,00;3.640,00;
Zonas Estadísticas;08;Sudeste Comunidad   ;5.479,00;5.510,00;5.595,00;5.769,00;
Zonas Estadísticas;09;Sudoeste Comunidad  ;6.753,00;6.845,00;6.891,00;7.129,00;
Zonas Estadísticas;10;Sierra Sur          ;1.836,00;1.841,00;1.876,00;1.930,00;
Zonas Estadísticas;11;Sierra Central      ;8.638,00;8.752,00;8.953,00;9.103,00;
Municipios;0014;Acebeda (La);0,00;2,00;3,00;3,00;
Municipios;0029;Ajalvir;253,00;266,00;291,00;309,00;
Municipios;0035;Alameda del Valle;6,00;8,00;9,00;11,00;
Municipios;0040;Álamo (El);526,00;518,00;526,00;509,00;
Municipios;0053;Alcalá de Henares;10.459,00;10.346,00;10.669,00;10.850,00;
Municipios;0066;Alcobendas;6.613,00;6.504,00;6.776,00;7.077,00;
Municipios;0072;Alcorcón;7.538,00;7.601,00;8.022,00;8.455,00;
Municipios;0088;Aldea del Fresno;146,00;153,00;154,00;143,00;
Municipios;0091;Algete;1.101,00;1.116,00;1.138,00;1.183,00;
Municipios;0105;Alpedrete;716,00;736,00;768,00;830,00;
Municipios;0112;Ambite;23,00;24,00;27,00;26,00;
Municipios;0127;Anchuelo;72,00;65,00;64,00;63,00;
Municipios;0133;Aranjuez;3.149,00;3.165,00;3.269,00;3.413,00;
Municipios;0148;Arganda del Rey;3.057,00;3.045,00;3.103,00;3.085,00;
Municipios;0151;Arroyomolinos;1.158,00;1.197,00;1.251,00;1.325,00;
Municipios;0164;Atazar (El);4,00;5,00;6,00;7,00;
Municipios;0170;Batres;86,00;81,00;74,00;89,00;
Municipios;0186;Becerril de la Sierra;266,00;282,00;305,00;305,00;
Municipios;0199;Belmonte de Tajo;109,00;90,00;88,00;95,00;
Municipios;0210;Berrueco (El);25,00;32,00;41,00;35,00;
Municipios;0203;Berzosa del Lozoya;7,00;11,00;11,00;12,00;
Municipios;0225;Boadilla del Monte;2.339,00;2.492,00;2.651,00;2.716,00;
Municipios;0231;Boalo (El);291,00;286,00;317,00;311,00;
Municipios;0246;Braojos;16,00;15,00;14,00;15,00;
Municipios;0259;Brea de Tajo;37,00;30,00;35,00;32,00;
Municipios;0262;Brunete;560,00;580,00;620,00;664,00;
Municipios;0278;Buitrago del Lozoya;101,00;98,00;108,00;96,00;
Municipios;0284;Bustarviejo;108,00;92,00;95,00;100,00;
Municipios;0297;Cabanillas de la Sierra;34,00;34,00;32,00;36,00;
Municipios;0301;Cabrera (La);118,00;134,00;142,00;152,00;
Municipios;0318;Cadalso de los Vidrios;163,00;163,00;152,00;145,00;
Municipios;0323;Camarma de Esteruelas;349,00;335,00;344,00;388,00;
Municipios;0339;Campo Real;332,00;344,00;356,00;350,00;
Municipios;0344;Canencia;11,00;19,00;19,00;21,00;
Municipios;0357;Carabaña;112,00;103,00;96,00;105,00;
Municipios;0360;Casarrubuelos;187,00;186,00;197,00;201,00;
Municipios;0376;Cenicientos;107,00;109,00;108,00;112,00;
Municipios;0382;Cercedilla;382,00;412,00;425,00;438,00;
Municipios;0395;Cervera de Buitrago;4,00;5,00;10,00;13,00;
Municipios;0513;Chapinería;117,00;119,00;116,00;117,00;
Municipios;0528;Chinchón;288,00;276,00;280,00;285,00;
Municipios;0409;Ciempozuelos;1.391,00;1.431,00;1.397,00;1.396,00;
Municipios;0416;Cobeña;347,00;339,00;361,00;364,00;
Municipios;0468;Collado Mediano;356,00;369,00;396,00;382,00;
Municipios;0474;Collado Villalba;3.823,00;3.945,00;4.003,00;4.159,00;
Municipios;0455;Colmenar Viejo;2.992,00;2.928,00;3.034,00;3.163,00;
Municipios;0437;Colmenar de Oreja;413,00;421,00;433,00;446,00;
Municipios;0421;Colmenar del Arroyo;87,00;94,00;90,00;83,00;
Municipios;0442;Colmenarejo;467,00;488,00;516,00;505,00;
Municipios;0480;Corpa;29,00;28,00;27,00;28,00;
Municipios;0493;Coslada;4.511,00;4.261,00;4.036,00;3.946,00;
Municipios;0506;Cubas de la Sagra;250,00;235,00;221,00;238,00;
Municipios;0534;Daganzo de Arriba;394,00;422,00;405,00;450,00;
Municipios;0549;Escorial (El);873,00;859,00;848,00;875,00;
Municipios;0552;Estremera;64,00;74,00;74,00;66,00;
Municipios;0565;Fresnedillas de la Oliva;97,00;101,00;87,00;101,00;
Municipios;0571;Fresno de Torote;94,00;94,00;91,00;97,00;
Municipios;0587;Fuenlabrada;10.359,00;10.041,00;9.761,00;9.977,00;
Municipios;0590;Fuente el Saz de Jarama;366,00;348,00;375,00;409,00;
Municipios;0604;Fuentidueña de Tajo;136,00;135,00;113,00;122,00;
Municipios;0611;Galapagar;1.981,00;1.988,00;2.108,00;2.260,00;
Municipios;0626;Garganta de los Montes;21,00;23,00;20,00;19,00;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;9,00;12,00;13,00;13,00;
Municipios;0647;Gascones;14,00;13,00;11,00;9,00;
Municipios;0650;Getafe;9.071,00;8.937,00;9.012,00;9.498,00;
Municipios;0663;Griñón;533,00;523,00;496,00;514,00;
Municipios;0679;Guadalix de la Sierra;334,00;321,00;320,00;326,00;
Municipios;0685;Guadarrama;784,00;820,00;825,00;812,00;
Municipios;0698;Hiruela (La);1,00;0,00;1,00;2,00;
Municipios;0702;Horcajo de la Sierra-Aoslos;9,00;11,00;15,00;13,00;
Municipios;0719;Horcajuelo de la Sierra;4,00;4,00;6,00;5,00;
