Población.Censos.Censo anual.Población censada.Total. Población censada de 85 a 89 años. Unidad: Número. Fuente: Censo de Población Anual. INE.;
Serie;;;2021;2022;2023;2024
Comunidad de Madrid;;Comunidad de Madrid;123.419,00;126.476,00;126.154,00;124.084,00;
Zonas Estadísticas;01;Municipio de Madrid ;81.609,00;82.107,00;80.430,00;77.790,00;
Zonas Estadísticas;02;Norte Metropolitano ;3.945,00;4.171,00;4.257,00;4.323,00;
Zonas Estadísticas;03;Este Metropolitano  ;7.237,00;7.671,00;7.870,00;7.968,00;
Zonas Estadísticas;04;Sur Metropolitano   ;16.341,00;17.453,00;18.172,00;18.585,00;
Zonas Estadísticas;05;Oeste Metropolitano ;6.098,00;6.434,00;6.659,00;6.751,00;
Zonas Estadísticas;06;Sierra Norte        ;818,00;859,00;888,00;855,00;
Zonas Estadísticas;07;Nordeste Comunidad  ;660,00;724,00;731,00;733,00;
Zonas Estadísticas;08;Sudeste Comunidad   ;1.738,00;1.785,00;1.811,00;1.761,00;
Zonas Estadísticas;09;Sudoeste Comunidad  ;1.718,00;1.864,00;1.873,00;1.805,00;
Zonas Estadísticas;10;Sierra Sur          ;795,00;795,00;779,00;754,00;
Zonas Estadísticas;11;Sierra Central      ;2.460,00;2.613,00;2.684,00;2.759,00;
Municipios;0014;Acebeda (La);4,00;2,00;3,00;2,00;
Municipios;0029;Ajalvir;46,00;48,00;47,00;53,00;
Municipios;0035;Alameda del Valle;5,00;5,00;8,00;4,00;
Municipios;0040;Álamo (El);235,00;262,00;223,00;220,00;
Municipios;0053;Alcalá de Henares;2.907,00;3.126,00;3.209,00;3.257,00;
Municipios;0066;Alcobendas;1.409,00;1.510,00;1.495,00;1.503,00;
Municipios;0072;Alcorcón;2.866,00;3.134,00;3.324,00;3.453,00;
Municipios;0088;Aldea del Fresno;74,00;84,00;82,00;83,00;
Municipios;0091;Algete;240,00;257,00;246,00;236,00;
Municipios;0105;Alpedrete;169,00;187,00;198,00;226,00;
Municipios;0112;Ambite;23,00;28,00;28,00;23,00;
Municipios;0127;Anchuelo;12,00;8,00;12,00;14,00;
Municipios;0133;Aranjuez;1.015,00;1.006,00;995,00;983,00;
Municipios;0148;Arganda del Rey;512,00;524,00;545,00;517,00;
Municipios;0151;Arroyomolinos;98,00;113,00;131,00;124,00;
Municipios;0164;Atazar (El);5,00;4,00;6,00;6,00;
Municipios;0170;Batres;18,00;18,00;23,00;21,00;
Municipios;0186;Becerril de la Sierra;91,00;80,00;87,00;94,00;
Municipios;0199;Belmonte de Tajo;35,00;29,00;30,00;31,00;
Municipios;0210;Berrueco (El);24,00;25,00;23,00;22,00;
Municipios;0203;Berzosa del Lozoya;3,00;2,00;2,00;6,00;
Municipios;0225;Boadilla del Monte;534,00;579,00;618,00;649,00;
Municipios;0231;Boalo (El);77,00;76,00;77,00;92,00;
Municipios;0246;Braojos;6,00;7,00;5,00;6,00;
Municipios;0259;Brea de Tajo;20,00;17,00;18,00;16,00;
Municipios;0262;Brunete;120,00;135,00;143,00;141,00;
Municipios;0278;Buitrago del Lozoya;41,00;43,00;47,00;53,00;
Municipios;0284;Bustarviejo;55,00;51,00;47,00;38,00;
