Población.Censos.Censo anual.Población censada.Total. Población censada de 10 a 14 años. Unidad: Número. Fuente: Censo de Población Anual. INE.;
Serie;;;2021;2022;2023;2024
Comunidad de Madrid;;Comunidad de Madrid;362.042,00;363.387,00;367.599,00;365.144,00;
Zonas Estadísticas;01;Municipio de Madrid ;148.277,00;148.131,00;150.484,00;150.716,00;
Zonas Estadísticas;02;Norte Metropolitano ;21.520,00;21.907,00;22.549,00;22.855,00;
Zonas Estadísticas;03;Este Metropolitano  ;39.529,00;39.893,00;40.063,00;39.395,00;
Zonas Estadísticas;04;Sur Metropolitano   ;77.959,00;78.351,00;79.217,00;78.178,00;
Zonas Estadísticas;05;Oeste Metropolitano ;34.948,00;34.849,00;34.812,00;33.845,00;
Zonas Estadísticas;06;Sierra Norte        ;2.576,00;2.610,00;2.684,00;2.633,00;
Zonas Estadísticas;07;Nordeste Comunidad  ;4.941,00;4.957,00;4.955,00;4.839,00;
Zonas Estadísticas;08;Sudeste Comunidad   ;6.848,00;6.956,00;6.972,00;7.016,00;
Zonas Estadísticas;09;Sudoeste Comunidad  ;10.972,00;11.269,00;11.623,00;11.777,00;
Zonas Estadísticas;10;Sierra Sur          ;2.169,00;2.255,00;2.311,00;2.241,00;
Zonas Estadísticas;11;Sierra Central      ;12.303,00;12.209,00;11.929,00;11.649,00;
Municipios;0014;Acebeda (La);1,00;1,00;2,00;2,00;
Municipios;0029;Ajalvir;316,00;288,00;277,00;264,00;
Municipios;0035;Alameda del Valle;9,00;9,00;13,00;10,00;
Municipios;0040;Álamo (El);648,00;625,00;609,00;591,00;
Municipios;0053;Alcalá de Henares;10.800,00;10.618,00;10.373,00;9.906,00;
Municipios;0066;Alcobendas;7.050,00;7.147,00;7.377,00;7.411,00;
Municipios;0072;Alcorcón;9.129,00;9.040,00;9.031,00;8.852,00;
Municipios;0088;Aldea del Fresno;175,00;181,00;192,00;190,00;
Municipios;0091;Algete;1.414,00;1.397,00;1.383,00;1.338,00;
