Población.Censos.Censo anual.Población censada.Total. Población censada de 40 a 44 años. Unidad: Número. Fuente: Censo de Población Anual. INE.;
Serie;;;2021;2022;2023;2024
Comunidad de Madrid;;Comunidad de Madrid;576.218,00;557.490,00;546.275,00;534.971,00;
Zonas Estadísticas;01;Municipio de Madrid ;260.199,00;251.418,00;248.990,00;248.373,00;
Zonas Estadísticas;02;Norte Metropolitano ;31.255,00;30.483,00;30.049,00;29.485,00;
Zonas Estadísticas;03;Este Metropolitano  ;62.784,00;61.200,00;59.875,00;57.911,00;
Zonas Estadísticas;04;Sur Metropolitano   ;126.474,00;121.675,00;116.947,00;111.766,00;
Zonas Estadísticas;05;Oeste Metropolitano ;39.427,00;38.033,00;37.023,00;35.812,00;
Zonas Estadísticas;06;Sierra Norte        ;4.125,00;3.978,00;3.926,00;3.680,00;
Zonas Estadísticas;07;Nordeste Comunidad  ;6.745,00;6.566,00;6.346,00;6.104,00;
Zonas Estadísticas;08;Sudeste Comunidad   ;10.584,00;10.488,00;10.516,00;10.367,00;
Zonas Estadísticas;09;Sudoeste Comunidad  ;16.181,00;15.992,00;15.685,00;15.190,00;
Zonas Estadísticas;10;Sierra Sur          ;3.084,00;3.059,00;2.988,00;2.986,00;
Zonas Estadísticas;11;Sierra Central      ;15.360,00;14.598,00;13.930,00;13.297,00;
Municipios;0014;Acebeda (La);1,00;1,00;0,00;1,00;
Municipios;0029;Ajalvir;493,00;482,00;435,00;432,00;
Municipios;0035;Alameda del Valle;21,00;17,00;13,00;15,00;
Municipios;0040;Álamo (El);846,00;830,00;811,00;769,00;
Municipios;0053;Alcalá de Henares;16.456,00;15.872,00;15.302,00;14.750,00;
Municipios;0066;Alcobendas;10.269,00;9.845,00;9.602,00;9.315,00;
Municipios;0072;Alcorcón;15.184,00;14.451,00;13.700,00;12.927,00;
Municipios;0088;Aldea del Fresno;267,00;268,00;269,00;274,00;
Municipios;0091;Algete;1.610,00;1.496,00;1.469,00;1.448,00;
Municipios;0105;Alpedrete;1.243,00;1.126,00;1.006,00;949,00;
Municipios;0112;Ambite;59,00;55,00;56,00;55,00;
Municipios;0127;Anchuelo;150,00;140,00;137,00;124,00;
Municipios;0133;Aranjuez;5.216,00;5.026,00;4.827,00;4.788,00;
Municipios;0148;Arganda del Rey;5.814,00;5.628,00;5.460,00;5.256,00;
Municipios;0151;Arroyomolinos;4.737,00;4.699,00;4.535,00;4.363,00;
Municipios;0164;Atazar (El);8,00;10,00;9,00;8,00;
Municipios;0170;Batres;146,00;144,00;154,00;167,00;
Municipios;0186;Becerril de la Sierra;557,00;533,00;521,00;499,00;
Municipios;0199;Belmonte de Tajo;149,00;158,00;170,00;185,00;
Municipios;0210;Berrueco (El);75,00;78,00;70,00;59,00;
Municipios;0203;Berzosa del Lozoya;12,00;11,00;9,00;7,00;
Municipios;0225;Boadilla del Monte;5.027,00;5.107,00;4.964,00;4.676,00;
Municipios;0231;Boalo (El);824,00;787,00;768,00;713,00;
Municipios;0246;Braojos;23,00;21,00;21,00;23,00;
Municipios;0259;Brea de Tajo;38,00;32,00;40,00;36,00;
Municipios;0262;Brunete;1.022,00;930,00;882,00;838,00;
Municipios;0278;Buitrago del Lozoya;153,00;145,00;141,00;145,00;
Municipios;0284;Bustarviejo;270,00;253,00;261,00;244,00;
Municipios;0297;Cabanillas de la Sierra;88,00;91,00;83,00;78,00;
Municipios;0301;Cabrera (La);270,00;271,00;269,00;258,00;
Municipios;0318;Cadalso de los Vidrios;242,00;236,00;229,00;228,00;
Municipios;0323;Camarma de Esteruelas;785,00;750,00;712,00;702,00;
Municipios;0339;Campo Real;677,00;703,00;683,00;653,00;
Municipios;0344;Canencia;22,00;19,00;17,00;19,00;
Municipios;0357;Carabaña;221,00;225,00;246,00;235,00;
Municipios;0360;Casarrubuelos;444,00;399,00;389,00;387,00;
Municipios;0376;Cenicientos;150,00;139,00;136,00;137,00;
Municipios;0382;Cercedilla;560,00;556,00;575,00;575,00;
Municipios;0395;Cervera de Buitrago;10,00;7,00;7,00;4,00;
Municipios;0513;Chapinería;236,00;226,00;212,00;217,00;
Municipios;0528;Chinchón;503,00;493,00;476,00;448,00;
Municipios;0409;Ciempozuelos;2.473,00;2.322,00;2.210,00;2.110,00;
Municipios;0416;Cobeña;739,00;735,00;697,00;651,00;
Municipios;0468;Collado Mediano;595,00;556,00;522,00;484,00;
Municipios;0474;Collado Villalba;5.452,00;5.304,00;5.268,00;5.140,00;
Municipios;0455;Colmenar Viejo;4.649,00;4.716,00;4.842,00;4.928,00;
Municipios;0437;Colmenar de Oreja;718,00;702,00;699,00;686,00;
Municipios;0421;Colmenar del Arroyo;169,00;168,00;158,00;162,00;
Municipios;0442;Colmenarejo;819,00;790,00;736,00;698,00;
Municipios;0480;Corpa;87,00;88,00;89,00;89,00;
Municipios;0493;Coslada;7.131,00;6.729,00;6.356,00;6.024,00;
Municipios;0506;Cubas de la Sagra;795,00;763,00;736,00;691,00;
Municipios;0534;Daganzo de Arriba;983,00;907,00;848,00;796,00;
Municipios;0549;Escorial (El);1.294,00;1.260,00;1.251,00;1.227,00;
Municipios;0552;Estremera;108,00;111,00;117,00;104,00;
Municipios;0565;Fresnedillas de la Oliva;162,00;173,00;169,00;160,00;
Municipios;0571;Fresno de Torote;244,00;229,00;238,00;224,00;
Municipios;0587;Fuenlabrada;16.794,00;16.327,00;15.864,00;15.190,00;
Municipios;0590;Fuente el Saz de Jarama;555,00;599,00;606,00;576,00;
Municipios;0604;Fuentidueña de Tajo;182,00;194,00;202,00;189,00;
Municipios;0611;Galapagar;2.756,00;2.659,00;2.549,00;2.492,00;
Municipios;0626;Garganta de los Montes;32,00;29,00;28,00;34,00;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;20,00;21,00;25,00;24,00;
Municipios;0647;Gascones;12,00;12,00;11,00;9,00;
Municipios;0650;Getafe;16.780,00;16.429,00;16.097,00;15.651,00;
Municipios;0663;Griñón;959,00;919,00;914,00;832,00;
Municipios;0679;Guadalix de la Sierra;568,00;545,00;557,00;517,00;
Municipios;0685;Guadarrama;1.374,00;1.354,00;1.307,00;1.204,00;
Municipios;0698;Hiruela (La);5,00;4,00;4,00;5,00;
Municipios;0702;Horcajo de la Sierra-Aoslos;21,00;27,00;24,00;19,00;
Municipios;0719;Horcajuelo de la Sierra;4,00;4,00;4,00;2,00;
Municipios;0724;Hoyo de Manzanares;640,00;647,00;620,00;586,00;
Municipios;0730;Humanes de Madrid;2.489,00;2.410,00;2.208,00;2.021,00;
Municipios;0745;Leganés;17.002,00;15.883,00;14.963,00;14.157,00;
Municipios;0758;Loeches;969,00;880,00;851,00;832,00;
Municipios;0761;Lozoya;39,00;36,00;42,00;36,00;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;140,00;133,00;120,00;107,00;
Municipios;0783;Madarcos;3,00;1,00;4,00;6,00;
Municipios;0796;Madrid;260.199,00;251.418,00;248.990,00;248.373,00;
Municipios;0800;Majadahonda;5.545,00;5.287,00;5.024,00;4.887,00;
Municipios;0822;Manzanares el Real;969,00;943,00;883,00;824,00;
Municipios;0838;Meco;1.473,00;1.429,00;1.396,00;1.347,00;
Municipios;0843;Mejorada del Campo;2.401,00;2.337,00;2.340,00;2.269,00;
