Población.Censos.Censo anual.Población censada.Total. Población censada de 90 a 94 años. Unidad: Número. Fuente: Censo de Población Anual. INE.;
Serie;;;2021;2022;2023;2024
Comunidad de Madrid;;Comunidad de Madrid;57.809,00;60.725,00;63.574,00;67.163,00;
Zonas Estadísticas;01;Municipio de Madrid ;38.578,00;40.185,00;41.780,00;43.990,00;
Zonas Estadísticas;02;Norte Metropolitano ;1.814,00;1.932,00;2.112,00;2.289,00;
Zonas Estadísticas;03;Este Metropolitano  ;3.262,00;3.444,00;3.671,00;3.883,00;
Zonas Estadísticas;04;Sur Metropolitano   ;6.768,00;7.251,00;7.748,00;8.270,00;
Zonas Estadísticas;05;Oeste Metropolitano ;3.056,00;3.339,00;3.450,00;3.666,00;
Zonas Estadísticas;06;Sierra Norte        ;463,00;482,00;498,00;540,00;
Zonas Estadísticas;07;Nordeste Comunidad  ;342,00;348,00;341,00;383,00;
Zonas Estadísticas;08;Sudeste Comunidad   ;860,00;921,00;951,00;1.006,00;
Zonas Estadísticas;09;Sudoeste Comunidad  ;917,00;1.011,00;1.105,00;1.160,00;
Zonas Estadísticas;10;Sierra Sur          ;428,00;439,00;475,00;492,00;
Zonas Estadísticas;11;Sierra Central      ;1.321,00;1.373,00;1.443,00;1.484,00;
Municipios;0014;Acebeda (La);1,00;2,00;1,00;3,00;
Municipios;0029;Ajalvir;23,00;25,00;23,00;23,00;
Municipios;0035;Alameda del Valle;3,00;3,00;2,00;4,00;
Municipios;0040;Álamo (El);147,00;168,00;181,00;150,00;
Municipios;0053;Alcalá de Henares;1.234,00;1.314,00;1.374,00;1.463,00;
Municipios;0066;Alcobendas;625,00;658,00;721,00;809,00;
Municipios;0072;Alcorcón;1.104,00;1.197,00;1.282,00;1.412,00;
Municipios;0088;Aldea del Fresno;19,00;32,00;43,00;54,00;
Municipios;0091;Algete;115,00;99,00;115,00;139,00;
Municipios;0105;Alpedrete;106,00;108,00;122,00;103,00;
Municipios;0112;Ambite;8,00;9,00;8,00;12,00;
Municipios;0127;Anchuelo;12,00;15,00;12,00;12,00;
Municipios;0133;Aranjuez;472,00;484,00;526,00;518,00;
Municipios;0148;Arganda del Rey;267,00;286,00;290,00;328,00;
Municipios;0151;Arroyomolinos;42,00;54,00;60,00;71,00;
Municipios;0164;Atazar (El);0,00;1,00;1,00;1,00;
Municipios;0170;Batres;8,00;6,00;8,00;13,00;
Municipios;0186;Becerril de la Sierra;49,00;55,00;59,00;63,00;
Municipios;0199;Belmonte de Tajo;21,00;24,00;19,00;18,00;
Municipios;0210;Berrueco (El);13,00;13,00;11,00;11,00;
Municipios;0203;Berzosa del Lozoya;6,00;6,00;6,00;6,00;
Municipios;0225;Boadilla del Monte;249,00;290,00;325,00;361,00;
Municipios;0231;Boalo (El);42,00;37,00;47,00;36,00;
Municipios;0246;Braojos;5,00;4,00;3,00;3,00;
Municipios;0259;Brea de Tajo;7,00;9,00;9,00;9,00;
Municipios;0262;Brunete;58,00;65,00;65,00;75,00;
Municipios;0278;Buitrago del Lozoya;32,00;30,00;30,00;32,00;
Municipios;0284;Bustarviejo;26,00;29,00;33,00;34,00;
Municipios;0297;Cabanillas de la Sierra;11,00;8,00;9,00;9,00;
Municipios;0301;Cabrera (La);25,00;22,00;22,00;25,00;
Municipios;0318;Cadalso de los Vidrios;45,00;52,00;45,00;45,00;
Municipios;0323;Camarma de Esteruelas;25,00;29,00;26,00;28,00;
Municipios;0339;Campo Real;61,00;67,00;65,00;65,00;
Municipios;0344;Canencia;8,00;10,00;14,00;16,00;
Municipios;0357;Carabaña;23,00;25,00;26,00;29,00;
Municipios;0360;Casarrubuelos;17,00;18,00;18,00;17,00;
Municipios;0376;Cenicientos;45,00;33,00;38,00;45,00;
Municipios;0382;Cercedilla;69,00;72,00;79,00;75,00;
Municipios;0395;Cervera de Buitrago;2,00;0,00;1,00;1,00;
Municipios;0513;Chapinería;31,00;26,00;34,00;29,00;
Municipios;0528;Chinchón;62,00;72,00;62,00;59,00;
Municipios;0409;Ciempozuelos;168,00;188,00;210,00;251,00;
Municipios;0416;Cobeña;36,00;36,00;49,00;50,00;
Municipios;0468;Collado Mediano;50,00;49,00;40,00;45,00;
Municipios;0474;Collado Villalba;388,00;413,00;416,00;462,00;
Municipios;0455;Colmenar Viejo;359,00;388,00;418,00;434,00;
Municipios;0437;Colmenar de Oreja;81,00;75,00;100,00;98,00;
Municipios;0421;Colmenar del Arroyo;27,00;29,00;32,00;32,00;
Municipios;0442;Colmenarejo;48,00;45,00;43,00;53,00;
Municipios;0480;Corpa;4,00;7,00;10,00;12,00;
Municipios;0493;Coslada;427,00;431,00;452,00;477,00;
Municipios;0506;Cubas de la Sagra;68,00;57,00;68,00;58,00;
Municipios;0534;Daganzo de Arriba;31,00;30,00;35,00;38,00;
Municipios;0549;Escorial (El);140,00;151,00;167,00;177,00;
Municipios;0552;Estremera;27,00;34,00;34,00;38,00;
Municipios;0565;Fresnedillas de la Oliva;12,00;15,00;17,00;17,00;
Municipios;0571;Fresno de Torote;13,00;11,00;12,00;11,00;
Municipios;0587;Fuenlabrada;698,00;754,00;767,00;798,00;
Municipios;0590;Fuente el Saz de Jarama;49,00;54,00;43,00;48,00;
Municipios;0604;Fuentidueña de Tajo;20,00;28,00;26,00;25,00;
Municipios;0611;Galapagar;197,00;225,00;224,00;238,00;
Municipios;0626;Garganta de los Montes;3,00;4,00;4,00;2,00;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;4,00;4,00;6,00;5,00;
Municipios;0647;Gascones;1,00;2,00;2,00;1,00;
Municipios;0650;Getafe;1.032,00;1.072,00;1.149,00;1.246,00;
Municipios;0663;Griñón;108,00;101,00;104,00;109,00;
Municipios;0679;Guadalix de la Sierra;33,00;42,00;40,00;48,00;
Municipios;0685;Guadarrama;168,00;170,00;171,00;188,00;
Municipios;0698;Hiruela (La);0,00;1,00;1,00;0,00;
Municipios;0702;Horcajo de la Sierra-Aoslos;1,00;1,00;1,00;2,00;
Municipios;0719;Horcajuelo de la Sierra;2,00;1,00;1,00;2,00;
Municipios;0724;Hoyo de Manzanares;68,00;71,00;78,00;72,00;
Municipios;0730;Humanes de Madrid;56,00;54,00;67,00;79,00;
Municipios;0745;Leganés;1.144,00;1.295,00;1.407,00;1.521,00;
Municipios;0758;Loeches;23,00;33,00;35,00;43,00;
Municipios;0761;Lozoya;7,00;7,00;6,00;8,00;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;23,00;25,00;25,00;27,00;
Municipios;0783;Madarcos;1,00;1,00;1,00;1,00;
Municipios;0796;Madrid;38.578,00;40.185,00;41.780,00;43.990,00;
Municipios;0800;Majadahonda;419,00;448,00;486,00;501,00;
Municipios;0822;Manzanares el Real;48,00;55,00;54,00;49,00;
