Población.Censos.Censo anual.Población censada.Total. Población censada de 50 a 54 años. Unidad: Número. Fuente: Censo de Población Anual. INE.;
Serie;;;2021;2022;2023;2024
Comunidad de Madrid;;Comunidad de Madrid;520.576,00;530.767,00;542.877,00;558.385,00;
Zonas Estadísticas;01;Municipio de Madrid ;247.005,00;248.071,00;251.449,00;257.202,00;
Zonas Estadísticas;02;Norte Metropolitano ;27.532,00;28.131,00;29.135,00;30.227,00;
Zonas Estadísticas;03;Este Metropolitano  ;52.097,00;53.619,00;54.978,00;56.395,00;
Zonas Estadísticas;04;Sur Metropolitano   ;100.168,00;103.723,00;107.246,00;111.208,00;
Zonas Estadísticas;05;Oeste Metropolitano ;43.370,00;44.705,00;45.868,00;46.908,00;
Zonas Estadísticas;06;Sierra Norte        ;4.017,00;4.096,00;4.177,00;4.289,00;
Zonas Estadísticas;07;Nordeste Comunidad  ;6.016,00;6.305,00;6.579,00;6.843,00;
Zonas Estadísticas;08;Sudeste Comunidad   ;8.750,00;9.127,00;9.417,00;9.805,00;
Zonas Estadísticas;09;Sudoeste Comunidad  ;11.656,00;12.389,00;12.945,00;13.698,00;
Zonas Estadísticas;10;Sierra Sur          ;3.053,00;3.072,00;3.193,00;3.346,00;
Zonas Estadísticas;11;Sierra Central      ;16.912,00;17.529,00;17.890,00;18.464,00;
Municipios;0014;Acebeda (La);4,00;2,00;3,00;4,00;
Municipios;0029;Ajalvir;421,00;425,00;463,00;512,00;
Municipios;0035;Alameda del Valle;31,00;24,00;25,00;25,00;
Municipios;0040;Álamo (El);834,00;851,00;850,00;871,00;
Municipios;0053;Alcalá de Henares;15.744,00;16.277,00;16.537,00;16.734,00;
Municipios;0066;Alcobendas;8.874,00;9.163,00;9.505,00;9.920,00;
Municipios;0072;Alcorcón;13.851,00;14.558,00;15.306,00;15.762,00;
Municipios;0088;Aldea del Fresno;228,00;233,00;251,00;273,00;
Municipios;0091;Algete;1.729,00;1.704,00;1.774,00;1.833,00;
Municipios;0105;Alpedrete;1.521,00;1.587,00;1.639,00;1.670,00;
Municipios;0112;Ambite;68,00;70,00;72,00;72,00;
Municipios;0127;Anchuelo;91,00;87,00;93,00;98,00;
Municipios;0133;Aranjuez;4.747,00;4.800,00;4.785,00;4.921,00;
Municipios;0148;Arganda del Rey;4.364,00;4.554,00;4.683,00;4.871,00;
Municipios;0151;Arroyomolinos;2.453,00;2.617,00;2.829,00;3.137,00;
Municipios;0164;Atazar (El);19,00;17,00;18,00;12,00;
Municipios;0170;Batres;169,00;198,00;209,00;219,00;
Municipios;0186;Becerril de la Sierra;531,00;528,00;546,00;578,00;
Municipios;0199;Belmonte de Tajo;130,00;145,00;144,00;144,00;
Municipios;0210;Berrueco (El);59,00;52,00;62,00;64,00;
Municipios;0203;Berzosa del Lozoya;23,00;23,00;21,00;16,00;
Municipios;0225;Boadilla del Monte;5.826,00;6.474,00;6.915,00;7.180,00;
Municipios;0231;Boalo (El);771,00;838,00;902,00;935,00;
Municipios;0246;Braojos;19,00;24,00;22,00;22,00;
Municipios;0259;Brea de Tajo;42,00;45,00;42,00;40,00;
Municipios;0262;Brunete;1.024,00;1.040,00;1.006,00;1.002,00;
Municipios;0278;Buitrago del Lozoya;151,00;153,00;152,00;163,00;
