Población.Censos.Censo anual.Población censada.Total. Población censada de 20 a 24 años. Unidad: Número. Fuente: Censo de Población Anual. INE.;
Serie;;;2021;2022;2023;2024
Comunidad de Madrid;;Comunidad de Madrid;343.456,00;350.099,00;372.574,00;394.501,00;
Zonas Estadísticas;01;Municipio de Madrid ;166.249,00;168.043,00;180.665,00;190.675,00;
Zonas Estadísticas;02;Norte Metropolitano ;19.466,00;19.599,00;20.516,00;21.547,00;
Zonas Estadísticas;03;Este Metropolitano  ;33.032,00;34.032,00;35.815,00;37.666,00;
Zonas Estadísticas;04;Sur Metropolitano   ;64.164,00;65.734,00;69.437,00;74.168,00;
Zonas Estadísticas;05;Oeste Metropolitano ;30.605,00;31.648,00;33.439,00;35.626,00;
Zonas Estadísticas;06;Sierra Norte        ;2.102,00;2.182,00;2.235,00;2.338,00;
Zonas Estadísticas;07;Nordeste Comunidad  ;3.543,00;3.694,00;3.958,00;4.183,00;
Zonas Estadísticas;08;Sudeste Comunidad   ;5.470,00;5.562,00;5.760,00;6.202,00;
Zonas Estadísticas;09;Sudoeste Comunidad  ;7.197,00;7.484,00;7.938,00;8.596,00;
Zonas Estadísticas;10;Sierra Sur          ;1.794,00;1.879,00;1.978,00;2.088,00;
Zonas Estadísticas;11;Sierra Central      ;9.834,00;10.242,00;10.833,00;11.412,00;
Municipios;0014;Acebeda (La);1,00;1,00;0,00;0,00;
Municipios;0029;Ajalvir;211,00;236,00;275,00;266,00;
Municipios;0035;Alameda del Valle;6,00;9,00;9,00;14,00;
Municipios;0040;Álamo (El);505,00;514,00;560,00;630,00;
Municipios;0053;Alcalá de Henares;10.106,00;10.051,00;10.718,00;11.301,00;
Municipios;0066;Alcobendas;6.417,00;6.355,00;6.760,00;7.035,00;
Municipios;0072;Alcorcón;7.963,00;8.309,00;8.945,00;9.563,00;
Municipios;0088;Aldea del Fresno;120,00;123,00;133,00;144,00;
Municipios;0091;Algete;1.386,00;1.407,00;1.447,00;1.530,00;
Municipios;0105;Alpedrete;903,00;913,00;953,00;1.026,00;
Municipios;0112;Ambite;25,00;21,00;19,00;27,00;
Municipios;0127;Anchuelo;55,00;55,00;61,00;63,00;
Municipios;0133;Aranjuez;3.242,00;3.214,00;3.297,00;3.603,00;
Municipios;0148;Arganda del Rey;2.709,00;2.810,00;2.949,00;3.087,00;
Municipios;0151;Arroyomolinos;1.400,00;1.484,00;1.600,00;1.768,00;
Municipios;0164;Atazar (El);4,00;3,00;4,00;5,00;
Municipios;0170;Batres;97,00;104,00;113,00;112,00;
Municipios;0186;Becerril de la Sierra;310,00;314,00;321,00;372,00;
Municipios;0199;Belmonte de Tajo;77,00;83,00;87,00;99,00;
Municipios;0210;Berrueco (El);33,00;33,00;34,00;28,00;
Municipios;0203;Berzosa del Lozoya;16,00;14,00;10,00;11,00;
Municipios;0225;Boadilla del Monte;3.198,00;3.482,00;3.845,00;4.364,00;
Municipios;0231;Boalo (El);335,00;375,00;388,00;456,00;
Municipios;0246;Braojos;16,00;20,00;22,00;15,00;
Municipios;0259;Brea de Tajo;40,00;40,00;34,00;39,00;
Municipios;0262;Brunete;635,00;654,00;678,00;706,00;
Municipios;0278;Buitrago del Lozoya;106,00;107,00;92,00;96,00;
Municipios;0284;Bustarviejo;98,00;108,00;115,00;123,00;
Municipios;0297;Cabanillas de la Sierra;40,00;42,00;50,00;61,00;
Municipios;0301;Cabrera (La);161,00;151,00;159,00;160,00;
Municipios;0318;Cadalso de los Vidrios;142,00;151,00;166,00;175,00;
Municipios;0323;Camarma de Esteruelas;342,00;375,00;423,00;468,00;
Municipios;0339;Campo Real;291,00;289,00;303,00;310,00;
Municipios;0344;Canencia;26,00;25,00;26,00;29,00;
Municipios;0357;Carabaña;104,00;103,00;106,00;109,00;
Municipios;0360;Casarrubuelos;187,00;198,00;230,00;236,00;
Municipios;0376;Cenicientos;104,00;97,00;100,00;104,00;
Municipios;0382;Cercedilla;420,00;456,00;474,00;430,00;
Municipios;0395;Cervera de Buitrago;7,00;8,00;7,00;6,00;
Municipios;0513;Chapinería;113,00;101,00;105,00;109,00;
Municipios;0528;Chinchón;281,00;286,00;275,00;298,00;
Municipios;0409;Ciempozuelos;1.277,00;1.265,00;1.349,00;1.428,00;
Municipios;0416;Cobeña;395,00;417,00;452,00;475,00;
Municipios;0468;Collado Mediano;385,00;408,00;418,00;453,00;
Municipios;0474;Collado Villalba;3.655,00;3.720,00;3.901,00;4.090,00;
Municipios;0455;Colmenar Viejo;2.944,00;2.974,00;3.083,00;3.221,00;
Municipios;0437;Colmenar de Oreja;424,00;440,00;450,00;496,00;
Municipios;0421;Colmenar del Arroyo;73,00;73,00;68,00;75,00;
Municipios;0442;Colmenarejo;626,00;659,00;665,00;740,00;
Municipios;0480;Corpa;27,00;24,00;25,00;28,00;
Municipios;0493;Coslada;3.610,00;3.641,00;3.659,00;3.830,00;
Municipios;0506;Cubas de la Sagra;288,00;314,00;321,00;368,00;
Municipios;0534;Daganzo de Arriba;602,00;652,00;711,00;746,00;
Municipios;0549;Escorial (El);886,00;883,00;952,00;991,00;
Municipios;0552;Estremera;72,00;70,00;71,00;74,00;
Municipios;0565;Fresnedillas de la Oliva;101,00;106,00;111,00;107,00;
Municipios;0571;Fresno de Torote;101,00;107,00;111,00;121,00;
Municipios;0587;Fuenlabrada;10.344,00;10.580,00;10.955,00;11.452,00;
Municipios;0590;Fuente el Saz de Jarama;409,00;420,00;442,00;480,00;
Municipios;0604;Fuentidueña de Tajo;113,00;114,00;103,00;109,00;
Municipios;0611;Galapagar;2.133,00;2.190,00;2.211,00;2.288,00;
Municipios;0626;Garganta de los Montes;14,00;11,00;18,00;21,00;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;10,00;14,00;13,00;8,00;
Municipios;0647;Gascones;9,00;6,00;10,00;7,00;
Municipios;0650;Getafe;8.366,00;8.600,00;9.071,00;9.978,00;
Municipios;0663;Griñón;584,00;587,00;620,00;665,00;
Municipios;0679;Guadalix de la Sierra;356,00;374,00;393,00;424,00;
Municipios;0685;Guadarrama;906,00;936,00;975,00;991,00;
Municipios;0698;Hiruela (La);2,00;3,00;3,00;3,00;
Municipios;0702;Horcajo de la Sierra-Aoslos;3,00;5,00;7,00;4,00;
Municipios;0719;Horcajuelo de la Sierra;8,00;6,00;7,00;10,00;
Municipios;0724;Hoyo de Manzanares;568,00;554,00;571,00;567,00;
Municipios;0730;Humanes de Madrid;915,00;938,00;1.002,00;1.052,00;
Municipios;0745;Leganés;8.580,00;8.778,00;9.444,00;10.170,00;
Municipios;0758;Loeches;432,00;455,00;481,00;515,00;
Municipios;0761;Lozoya;20,00;25,00;23,00;25,00;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;70,00;70,00;74,00;68,00;
Municipios;0783;Madarcos;1,00;1,00;0,00;2,00;
Municipios;0796;Madrid;166.249,00;168.043,00;180.665,00;190.675,00;
Municipios;0800;Majadahonda;4.226,00;4.352,00;4.583,00;4.784,00;
Municipios;0822;Manzanares el Real;375,00;392,00;430,00;457,00;
Municipios;0838;Meco;820,00;839,00;870,00;901,00;
Municipios;0843;Mejorada del Campo;1.206,00;1.262,00;1.332,00;1.402,00;
Municipios;0856;Miraflores de la Sierra;299,00;318,00;355,00;399,00;
Municipios;0869;Molar (El);442,00;491,00;530,00;578,00;
Municipios;0875;Molinos (Los);259,00;287,00;311,00;276,00;
Municipios;0881;Montejo de la Sierra;23,00;25,00;23,00;24,00;
