Población.Censos.Censo anual.Población censada.Total. Población censada de 5 a 9 años. Unidad: Número. Fuente: Censo de Población Anual. INE.;
Serie;;;2021;2022;2023;2024
Comunidad de Madrid;;Comunidad de Madrid;338.921,00;332.967,00;330.560,00;326.737,00;
Zonas Estadísticas;01;Municipio de Madrid ;143.168,00;140.055,00;140.109,00;139.780,00;
Zonas Estadísticas;02;Norte Metropolitano ;20.884,00;20.953,00;20.773,00;20.502,00;
Zonas Estadísticas;03;Este Metropolitano  ;36.699,00;36.348,00;36.120,00;35.588,00;
Zonas Estadísticas;04;Sur Metropolitano   ;73.025,00;71.225,00;70.105,00;68.616,00;
Zonas Estadísticas;05;Oeste Metropolitano ;29.411,00;29.019,00;28.698,00;27.962,00;
Zonas Estadísticas;06;Sierra Norte        ;2.394,00;2.432,00;2.372,00;2.299,00;
Zonas Estadísticas;07;Nordeste Comunidad  ;4.274,00;4.170,00;4.003,00;3.920,00;
Zonas Estadísticas;08;Sudeste Comunidad   ;6.380,00;6.353,00;6.428,00;6.477,00;
Zonas Estadísticas;09;Sudoeste Comunidad  ;10.749,00;10.840,00;10.659,00;10.514,00;
Zonas Estadísticas;10;Sierra Sur          ;1.934,00;1.890,00;1.880,00;1.923,00;
Zonas Estadísticas;11;Sierra Central      ;10.003,00;9.682,00;9.413,00;9.156,00;
Municipios;0014;Acebeda (La);1,00;1,00;0,00;0,00;
Municipios;0029;Ajalvir;238,00;231,00;212,00;219,00;
Municipios;0035;Alameda del Valle;14,00;13,00;13,00;11,00;
Municipios;0040;Álamo (El);554,00;564,00;574,00;560,00;
Municipios;0053;Alcalá de Henares;8.996,00;8.814,00;8.753,00;8.673,00;
Municipios;0066;Alcobendas;6.741,00;6.688,00;6.557,00;6.326,00;
Municipios;0072;Alcorcón;8.431,00;8.220,00;8.044,00;7.910,00;
Municipios;0088;Aldea del Fresno;163,00;170,00;179,00;177,00;
Municipios;0091;Algete;1.098,00;1.085,00;1.102,00;1.081,00;
Municipios;0105;Alpedrete;819,00;776,00;749,00;709,00;
Municipios;0112;Ambite;23,00;29,00;33,00;33,00;
Municipios;0127;Anchuelo;88,00;90,00;100,00;91,00;
Municipios;0133;Aranjuez;3.418,00;3.309,00;3.267,00;3.259,00;
Municipios;0148;Arganda del Rey;3.538,00;3.475,00;3.420,00;3.380,00;
Municipios;0151;Arroyomolinos;3.283,00;3.329,00;3.257,00;3.236,00;
Municipios;0164;Atazar (El);4,00;4,00;4,00;5,00;
Municipios;0170;Batres;78,00;81,00;89,00;93,00;
Municipios;0186;Becerril de la Sierra;299,00;311,00;298,00;342,00;
Municipios;0199;Belmonte de Tajo;85,00;84,00;93,00;93,00;
Municipios;0210;Berrueco (El);56,00;55,00;51,00;47,00;
Municipios;0203;Berzosa del Lozoya;3,00;3,00;6,00;4,00;
Municipios;0225;Boadilla del Monte;4.173,00;4.309,00;4.358,00;4.245,00;
Municipios;0231;Boalo (El);573,00;595,00;579,00;538,00;
Municipios;0246;Braojos;4,00;5,00;6,00;4,00;
Municipios;0259;Brea de Tajo;17,00;14,00;17,00;16,00;
Municipios;0262;Brunete;647,00;572,00;559,00;560,00;
Municipios;0278;Buitrago del Lozoya;116,00;114,00;102,00;95,00;
Municipios;0284;Bustarviejo;164,00;137,00;140,00;148,00;
Municipios;0297;Cabanillas de la Sierra;41,00;49,00;47,00;49,00;
Municipios;0301;Cabrera (La);138,00;152,00;141,00;123,00;
Municipios;0318;Cadalso de los Vidrios;149,00;147,00;149,00;156,00;
Municipios;0323;Camarma de Esteruelas;492,00;456,00;423,00;422,00;
Municipios;0339;Campo Real;396,00;415,00;427,00;409,00;
Municipios;0344;Canencia;10,00;13,00;12,00;11,00;
Municipios;0357;Carabaña;128,00;138,00;130,00;122,00;
Municipios;0360;Casarrubuelos;251,00;243,00;240,00;247,00;
Municipios;0376;Cenicientos;92,00;85,00;81,00;77,00;
Municipios;0382;Cercedilla;327,00;334,00;352,00;321,00;
Municipios;0395;Cervera de Buitrago;4,00;4,00;4,00;2,00;
Municipios;0513;Chapinería;169,00;166,00;165,00;180,00;
Municipios;0528;Chinchón;286,00;271,00;269,00;275,00;
Municipios;0409;Ciempozuelos;1.392,00;1.333,00;1.339,00;1.301,00;
