Población.Censos.Censo anual.Población censada.Total. Población censada de 35 a 39 años. Unidad: Número. Fuente: Censo de Población Anual. INE.;
Serie;;;2021;2022;2023;2024
Comunidad de Madrid;;Comunidad de Madrid;488.400,00;469.777,00;464.923,00;467.526,00;
Zonas Estadísticas;01;Municipio de Madrid ;238.558,00;230.201,00;231.133,00;237.317,00;
Zonas Estadísticas;02;Norte Metropolitano ;25.777,00;24.751,00;24.291,00;24.208,00;
Zonas Estadísticas;03;Este Metropolitano  ;51.839,00;50.149,00;48.876,00;48.146,00;
Zonas Estadísticas;04;Sur Metropolitano   ;99.591,00;93.578,00;90.545,00;88.754,00;
Zonas Estadísticas;05;Oeste Metropolitano ;30.620,00;30.008,00;29.630,00;28.908,00;
Zonas Estadísticas;06;Sierra Norte        ;3.044,00;2.963,00;2.909,00;2.912,00;
Zonas Estadísticas;07;Nordeste Comunidad  ;4.961,00;4.897,00;4.834,00;4.779,00;
Zonas Estadísticas;08;Sudeste Comunidad   ;8.715,00;8.542,00;8.497,00;8.566,00;
Zonas Estadísticas;09;Sudoeste Comunidad  ;12.164,00;11.687,00;11.407,00;11.080,00;
Zonas Estadísticas;10;Sierra Sur          ;2.509,00;2.553,00;2.530,00;2.529,00;
Zonas Estadísticas;11;Sierra Central      ;10.622,00;10.448,00;10.271,00;10.327,00;
Municipios;0014;Acebeda (La);2,00;2,00;2,00;4,00;
Municipios;0029;Ajalvir;436,00;401,00;379,00;375,00;
Municipios;0035;Alameda del Valle;11,00;10,00;12,00;8,00;
Municipios;0040;Álamo (El);699,00;653,00;642,00;655,00;
Municipios;0053;Alcalá de Henares;13.792,00;13.222,00;12.963,00;12.885,00;
Municipios;0066;Alcobendas;8.233,00;7.776,00;7.688,00;7.639,00;
Municipios;0072;Alcorcón;11.308,00;10.405,00;9.931,00;9.712,00;
Municipios;0088;Aldea del Fresno;232,00;236,00;268,00;253,00;
Municipios;0091;Algete;1.265,00;1.267,00;1.236,00;1.191,00;
Municipios;0105;Alpedrete;772,00;772,00;814,00;814,00;
Municipios;0112;Ambite;46,00;45,00;46,00;39,00;
