Población.Censos.Censo anual.Población censada.Total. Población censada de 80 a 84 años. Unidad: Número. Fuente: Censo de Población Anual. INE.;
Serie;;;2021;2022;2023;2024
Comunidad de Madrid;;Comunidad de Madrid;166.782,00;163.563,00;166.755,00;179.976,00;
Zonas Estadísticas;01;Municipio de Madrid ;102.457,00;98.450,00;98.336,00;103.450,00;
Zonas Estadísticas;02;Norte Metropolitano ;5.837,00;5.998,00;6.277,00;7.022,00;
Zonas Estadísticas;03;Este Metropolitano  ;11.247,00;11.189,00;11.757,00;13.029,00;
Zonas Estadísticas;04;Sur Metropolitano   ;27.615,00;28.038,00;29.610,00;33.690,00;
Zonas Estadísticas;05;Oeste Metropolitano ;8.803,00;9.250,00;9.902,00;11.013,00;
Zonas Estadísticas;06;Sierra Norte        ;1.030,00;1.030,00;1.027,00;1.089,00;
Zonas Estadísticas;07;Nordeste Comunidad  ;918,00;842,00;867,00;952,00;
Zonas Estadísticas;08;Sudeste Comunidad   ;2.236,00;2.125,00;2.092,00;2.238,00;
Zonas Estadísticas;09;Sudoeste Comunidad  ;2.047,00;2.049,00;2.157,00;2.391,00;
Zonas Estadísticas;10;Sierra Sur          ;1.028,00;1.014,00;1.000,00;1.076,00;
Zonas Estadísticas;11;Sierra Central      ;3.564,00;3.578,00;3.730,00;4.026,00;
Municipios;0014;Acebeda (La);1,00;1,00;3,00;3,00;
Municipios;0029;Ajalvir;66,00;69,00;61,00;69,00;
Municipios;0035;Alameda del Valle;7,00;8,00;9,00;10,00;
Municipios;0040;Álamo (El);242,00;267,00;267,00;277,00;
Municipios;0053;Alcalá de Henares;4.675,00;4.639,00;4.887,00;5.310,00;
Municipios;0066;Alcobendas;2.279,00;2.408,00;2.577,00;2.897,00;
Municipios;0072;Alcorcón;5.408,00;5.668,00;6.064,00;6.929,00;
Municipios;0088;Aldea del Fresno;82,00;77,00;73,00;82,00;
Municipios;0091;Algete;341,00;358,00;350,00;382,00;
Municipios;0105;Alpedrete;308,00;319,00;326,00;364,00;
Municipios;0112;Ambite;23,00;15,00;24,00;26,00;
Municipios;0127;Anchuelo;26,00;21,00;21,00;23,00;
Municipios;0133;Aranjuez;1.329,00;1.329,00;1.358,00;1.471,00;
Municipios;0148;Arganda del Rey;795,00;823,00;863,00;956,00;
Municipios;0151;Arroyomolinos;180,00;192,00;213,00;268,00;
Municipios;0164;Atazar (El);4,00;4,00;3,00;3,00;
Municipios;0170;Batres;23,00;25,00;24,00;34,00;
Municipios;0186;Becerril de la Sierra;127,00;127,00;117,00;133,00;
Municipios;0199;Belmonte de Tajo;35,00;35,00;36,00;44,00;
Municipios;0210;Berrueco (El);20,00;24,00;25,00;21,00;
Municipios;0203;Berzosa del Lozoya;6,00;7,00;6,00;7,00;
Municipios;0225;Boadilla del Monte;796,00;855,00;953,00;1.068,00;
Municipios;0231;Boalo (El);108,00;110,00;129,00;140,00;
Municipios;0246;Braojos;5,00;5,00;5,00;6,00;
Municipios;0259;Brea de Tajo;22,00;22,00;27,00;29,00;
Municipios;0262;Brunete;153,00;170,00;173,00;191,00;
Municipios;0278;Buitrago del Lozoya;67,00;61,00;57,00;43,00;
Municipios;0284;Bustarviejo;48,00;45,00;43,00;52,00;
Municipios;0297;Cabanillas de la Sierra;27,00;28,00;32,00;30,00;
Municipios;0301;Cabrera (La);75,00;71,00;74,00;74,00;
Municipios;0318;Cadalso de los Vidrios;83,00;79,00;83,00;86,00;
Municipios;0323;Camarma de Esteruelas;86,00;82,00;86,00;111,00;
Municipios;0339;Campo Real;104,00;105,00;100,00;103,00;
Municipios;0344;Canencia;20,00;21,00;17,00;16,00;
Municipios;0357;Carabaña;47,00;49,00;54,00;58,00;
Municipios;0360;Casarrubuelos;40,00;41,00;45,00;52,00;
Municipios;0376;Cenicientos;95,00;96,00;88,00;100,00;
Municipios;0382;Cercedilla;195,00;195,00;176,00;178,00;
Municipios;0395;Cervera de Buitrago;8,00;8,00;8,00;10,00;
Municipios;0513;Chapinería;69,00;61,00;64,00;63,00;
Municipios;0528;Chinchón;148,00;150,00;150,00;153,00;
Municipios;0409;Ciempozuelos;453,00;464,00;469,00;536,00;
Municipios;0416;Cobeña;79,00;78,00;78,00;81,00;
Municipios;0468;Collado Mediano;132,00;129,00;141,00;147,00;
Municipios;0474;Collado Villalba;1.159,00;1.140,00;1.142,00;1.240,00;
Municipios;0455;Colmenar Viejo;889,00;866,00;850,00;904,00;
Municipios;0437;Colmenar de Oreja;250,00;231,00;211,00;208,00;
Municipios;0421;Colmenar del Arroyo;41,00;45,00;41,00;55,00;
Municipios;0442;Colmenarejo;123,00;139,00;141,00;155,00;
Municipios;0480;Corpa;17,00;15,00;13,00;12,00;
Municipios;0493;Coslada;1.483,00;1.518,00;1.650,00;1.877,00;
Municipios;0506;Cubas de la Sagra;74,00;74,00;90,00;105,00;
Municipios;0534;Daganzo de Arriba;113,00;89,00;86,00;99,00;
Municipios;0549;Escorial (El);369,00;374,00;373,00;406,00;
Municipios;0552;Estremera;58,00;48,00;49,00;44,00;
Municipios;0565;Fresnedillas de la Oliva;20,00;25,00;25,00;30,00;
Municipios;0571;Fresno de Torote;39,00;36,00;40,00;42,00;
Municipios;0587;Fuenlabrada;2.293,00;2.234,00;2.314,00;2.648,00;
